nome,pres1819,whoscored1819
Faouzi Ghoulam,2,7.72
Matthias Ginter,12,7.04
Emil Forsberg,6,7.01
Marcel Sabitzer,11,6.85
Thorgan Hazard,16,7.79
Thomas Meunier,10,7.24
Shkodran Mustafi,16,7.2
Sime Vrsaljko,6,7.06
Iago Aspas,16,7.45
Vitolo,0,5.93
Pedro Rodriguez,9,7.12
Asier Illarramendi,13,6.82
Aleksandar Mitrovic,17,7.06
David Luiz,16,7.25
Marko Arnautovic,13,6.97
Arturo Vidal,6,6.81
Sami Khedira,4,6.58
Edin Dzeko,10,6.96
Luka Modric,14,6.87
Cesc Fàbregas,1,6.29
Danilo Pereira,8,6.97
José Callejón,10,6.9
