id,nome,eta,nazione,ruolo,ruolo_detail,squadra,valore,instagram_followers,facebook_followers,twitter_followers
315779,Christian Pulisic,20,Stati Uniti,Attaccante,Ala destra,Borussia Dortmund,45000000,1302366,200656,186610
225693,Fabinho,25,Brasile,Centrocampista,Mediano,FC Liverpool,45000000,695456,60568,6161
197300,Federico Bernardeschi,24,Italia,Attaccante,Ala destra,Juventus FC,45000000,1628506,205281,117716
190393,Corentin Tolisso,24,Francia,Centrocampista,Centrale,FC Bayern Monaco,45000000,1101251,346478,199995
187492,Julian Brandt,22,Germania,Attaccante,Ala sinistra,Bayer 04 Leverkusen,45000000,380602,55622,17803
177907,Harry Maguire,25,Inghilterra,Difensore,Difensore centrale,Leicester City,45000000,476227,24860,218835
167850,Memphis Depay,24,Olanda,Attaccante,Punta centrale,Olympique Lione,45000000,5490175,2914957,1301666
157495,Benjamin Mendy,24,Francia,Difensore,Terzino sinistro,Manchester City,45000000,2575142,171014,1085956
112515,Marcos Alonso,27,Spagna,Difensore,Terzino sinistro,Chelsea FC,45000000,1258524,439238,349789
79960,Alex Sandro,27,Brasile,Difensore,Terzino sinistro,Juventus FC,45000000,1465140,,
50057,Aaron Ramsey,27,Galles,Centrocampista,Centrale,FC Arsenal,45000000,3113611,4623868,3084654
45320,Ángel Di María,30,Argentina,Attaccante,Ala destra,FC Paris Saint-Germain,45000000,7987037,3395743,146886
42460,Ivan Perisic,29,Croazia,Attaccante,Ala sinistra,FC Internazionale,45000000,1419682,163277,4827
35664,Mesut Özil,30,Germania,Centrocampista,Trequartista,FC Arsenal,45000000,18674282,31336930,23521024
18944,Gerard Piqué,31,Spagna,Difensore,Difensore centrale,FC Barcellona,45000000,16874872,18842284,18934201
357565,Rodri,22,Spagna,Centrocampista,Mediano,Atlético de Madrid,40000000,,,
353366,Benjamin Pavard,22,Francia,Difensore,Difensore centrale,VfB Stoccarda,40000000,1563446,74718,463
341429,Davinson Sánchez,22,Colombia,Difensore,Difensore centrale,Tottenham Hotspur,40000000,499909,35243,122381
326330,Frenkie de Jong,21,Olanda,Centrocampista,Centrale,AFC Ajax Amsterdam,40000000,326815,,
318077,Lucas Torreira,22,Uruguay,Centrocampista,Mediano,FC Arsenal,40000000,854653,,178221
316889,Hirving Lozano,23,Messico,Attaccante,Ala destra,PSV Eindhoven,40000000,1185965,,279409
315858,Gianluigi Donnarumma,19,Italia,Portiere,Portiere,AC Milan,40000000,1623181,654673,133368
225161,Rúben Neves,21,Portogallo,Centrocampista,Mediano,Wolverhampton Wanderers,40000000,296225,216019,34507
225122,Gonçalo Guedes,22,Portogallo,Attaccante,Ala sinistra,Valencia CF,40000000,409975,131770,20485
197747,Alessio Romagnoli,23,Italia,Difensore,Difensore centrale,AC Milan,40000000,665416,127851,
196948,Andreas Christensen,22,Danimarca,Difensore,Difensore centrale,Chelsea FC,40000000,588666,,
196357,Jonathan Tah,22,Germania,Difensore,Difensore centrale,Bayer 04 Leverkusen,40000000,160063,36356,3354
191217,Héctor Bellerín,23,Spagna,Difensore,Terzino destro,FC Arsenal,40000000,2802981,658951,1578701
182904,Clément Lenglet,23,Francia,Difensore,Difensore centrale,FC Barcellona,40000000,583942,56316,70830
182712,João Cancelo,24,Portogallo,Difensore,Terzino destro,Juventus FC,40000000,1097016,105824,
181136,Piotr Zielinski,24,Polonia,Centrocampista,Centrale,SSC Napoli,40000000,419696,224446,
179184,Michy Batshuayi,25,Belgio,Attaccante,Punta centrale,Valencia CF,40000000,2467809,849116,1783418
175722,Eric Dier,24,Inghilterra,Centrocampista,Mediano,Tottenham Hotspur,40000000,780615,102623,283393
156617,Marcelo Brozovic,26,Croazia,Centrocampista,Centrale,FC Internazionale,40000000,743595,54093,
153084,Leon Goretzka,23,Germania,Centrocampista,Centrale,FC Bayern Monaco,40000000,644003,179444,
143424,Alex Oxlade-Chamberlain,25,Inghilterra,Centrocampista,Centrocampista di destra,FC Liverpool,40000000,3331577,2552107,2808282
141660,Jesse Lingard,25,Inghilterra,Attaccante,Ala destra,Manchester United,40000000,5318790,936757,1143444
126422,Allan,27,Brasile,Centrocampista,Centrale,SSC Napoli,40000000,369009,,
111961,Suso,25,Spagna,Attaccante,Ala destra,AC Milan,40000000,929055,,126775
111455,Granit Xhaka,26,Svizzera,Centrocampista,Mediano,FC Arsenal,40000000,1801757,1262318,
111196,Stefan de Vrij,26,Olanda,Difensore,Difensore centrale,FC Internazionale,40000000,350206,236771,177626
107010,Stefan Savic,27,Montenegro,Difensore,Difensore centrale,Atlético de Madrid,40000000,272756,,
104752,Konstantinos Manolas,27,Grecia,Difensore,Difensore centrale,AS Roma,40000000,458540,,
86202,Antonio Rüdiger,25,Germania,Difensore,Difensore centrale,Chelsea FC,40000000,918205,237595,402463
74683,Nemanja Matic,30,Serbia,Centrocampista,Mediano,Manchester United,40000000,1209474,,39853
57500,César Azpilicueta,29,Spagna,Difensore,Terzino destro,Chelsea FC,40000000,2250630,2991041,2086185
53622,Ilkay Gündogan,28,Germania,Centrocampista,Centrale,Manchester City,40000000,2341938,2673213,903796
49499,Georginio Wijnaldum,28,Olanda,Centrocampista,Centrale,FC Liverpool,40000000,1550260,,533638
44017,Javi Martínez,30,Spagna,Centrocampista,Mediano,FC Bayern Monaco,40000000,1743298,1969600,1370887
42710,Toby Alderweireld,29,Belgio,Difensore,Difensore centrale,Tottenham Hotspur,40000000,375698,44534,596205
41982,Radja Nainggolan,30,Belgio,Centrocampista,Trequartista,FC Internazionale,40000000,1740379,595423,640235
35207,Marco Reus,29,Germania,Centrocampista,Trequartista,Borussia Dortmund,40000000,7221383,13146494,3058718
26485,Jérôme Boateng,30,Germania,Difensore,Difensore centrale,FC Bayern Monaco,40000000,5996555,3834146,2453222
25557,Sergio Ramos,32,Spagna,Difensore,Difensore centrale,Real Madrid CF,40000000,28894279,23588468,15571740
18922,Karim Benzema,30,Francia,Attaccante,Punta centrale,Real Madrid CF,40000000,25508947,22821698,8959498
57229,Paulinho,30,Brasile,Centrocampista,Centrale,Guangzhou Evergrande Taobao,38000000,3587086,1793059,16875
450936,Tanguy Ndombélé,21,Francia,Centrocampista,Centrale,Olympique Lione,35000000,95788,,
395693,Houssem Aouar,20,Francia,Centrocampista,Centrale,Olympique Lione,35000000,181574,20738,43275
392775,Ryan Sessegnon,18,Inghilterra,Centrocampista,Centrocampista di sinistra,FC Fulham,35000000,171375,,35824
371998,Vinícius Júnior,18,Brasile,Attaccante,Ala sinistra,Real Madrid CF,35000000,4315534,485877,751837
351478,Mikel Oyarzabal,21,Spagna,Attaccante,Ala sinistra,Real Sociedad,35000000,35343,,12752
314353,Trent Alexander-Arnold,20,Inghilterra,Difensore,Terzino destro,FC Liverpool,35000000,60,,368276
294808,Franck Kessié,21,Costa d'Avorio,Centrocampista,Centrale,AC Milan,35000000,447876,,
274839,Wilfred Ndidi,21,Nigeria,Centrocampista,Mediano,Leicester City,35000000,328254,,72250
234803,Andrew Robertson,24,Scozia,Difensore,Terzino sinistro,FC Liverpool,35000000,907361,,1248
230784,Thomas,25,Ghana,Centrocampista,Mediano,Atlético de Madrid,35000000,245984,47456,59140
221322,José Gayà,23,Spagna,Difensore,Terzino sinistro,Valencia CF,35000000,204500,,85067
182618,Tiemoué Bakayoko,24,Francia,Centrocampista,Mediano,AC Milan,35000000,974118,67561,
167727,Andrea Belotti,24,Italia,Attaccante,Punta centrale,Torino FC,35000000,830017,145898,34609
159372,Felipe Anderson,25,Brasile,Attaccante,Ala sinistra,West Ham United,35000000,397592,68996,158358
130164,Jordan Pickford,24,Inghilterra,Portiere,Portiere,FC Everton,35000000,564582,3322,186878
128220,Luis Alberto,26,Spagna,Centrocampista,Trequartista,SS Lazio,35000000,205843,,
95810,Kieran Trippier,28,Inghilterra,Difensore,Terzino destro,Tottenham Hotspur,35000000,431366,,257449
74230,Pablo Sarabia,26,Spagna,Centrocampista,Trequartista,FC Siviglia,35000000,135812,,92961
58884,Nacho Fernández,28,Spagna,Difensore,Difensore centrale,Real Madrid CF,35000000,5231217,1945754,284
55735,Henrikh Mkhitaryan,29,Armenia,Centrocampista,Trequartista,FC Arsenal,35000000,2973508,3264181,1446732
54781,Nicolás Otamendi,30,Argentina,Difensore,Difensore centrale,Manchester City,35000000,1984555,815011,560054
46580,Andrej Kramaric,27,Croazia,Attaccante,Punta centrale,TSG 1899 Hoffenheim,35000000,382419,9238,
39983,Leonardo Bonucci,31,Italia,Difensore,Difensore centrale,Juventus FC,35000000,3320455,1773989,1554631
284730,Manuel Akanji,23,Svizzera,Difensore,Difensore centrale,Borussia Dortmund,33000000,116055,15644,9361
158863,Iñigo Martínez,27,Spagna,Difensore,Difensore centrale,Athletic Bilbao,32000000,48370,13210,194916
77100,Lucas Moura,26,Brasile,Attaccante,Ala destra,Tottenham Hotspur,32000000,3886302,3417868,2923428
43250,Jan Vertonghen,31,Belgio,Difensore,Difensore centrale,Tottenham Hotspur,32000000,789215,119989,881261
396894,Maximiliano Gómez,22,Uruguay,Attaccante,Punta centrale,Celta de Vigo,30000000,80519,,22431
372246,Carlos Soler,21,Spagna,Centrocampista,Centrocampista di destra,Valencia CF,30000000,112769,11993,32486
348795,Giovani Lo Celso,22,Argentina,Centrocampista,Centrale,Real Betis Balompié,30000000,718934,,119433
344695,Dayot Upamecano,20,Francia,Difensore,Difensore centrale,RasenBallsport Lipsia,30000000,38793,,
289446,Yerry Mina,24,Colombia,Difensore,Difensore centrale,FC Everton,30000000,3477376,117361,
286384,Eric Bailly,24,Costa d'Avorio,Difensore,Difensore centrale,Manchester United,30000000,2067545,862021,872832
282041,Presnel Kimpembe,23,Francia,Difensore,Difensore centrale,FC Paris Saint-Germain,30000000,2267631,115895,154690
280730,Álvaro Odriozola,23,Spagna,Difensore,Terzino destro,Real Madrid CF,30000000,438608,7008,110636
266807,Ángel Correa,23,Argentina,Attaccante,Ala destra,Atlético de Madrid,30000000,545814,,165145
263918,Aleksandr Golovin,22,Russia,Centrocampista,Trequartista,AS Monaco,30000000,495617,,
257448,Gelson Martins,23,Portogallo,Attaccante,Ala destra,Atlético de Madrid,30000000,219214,77176,25986
255942,Nicolò Barella,21,Italia,Centrocampista,Centrale,Cagliari Calcio,30000000,79652,,
255508,Iñaki Williams,24,Spagna,Attaccante,Ala destra,Athletic Bilbao,30000000,130878,40494,64666
238752,Keita Baldé,23,Senegal,Attaccante,Ala sinistra,FC Internazionale,30000000,554661,188378,103428
231572,Nélson Semedo,25,Portogallo,Difensore,Terzino destro,FC Barcellona,30000000,1744757,324472,68510
228948,Thilo Kehrer,22,Germania,Difensore,Difensore centrale,FC Paris Saint-Germain,30000000,287443,27740,21900
217111,Hakim Ziyech,25,Marocco,Centrocampista,Trequartista,AFC Ajax Amsterdam,30000000,1032209,166783,
198008,André Silva,23,Portogallo,Attaccante,Punta centrale,FC Siviglia,30000000,1702644,343539,240381
187587,Ante Rebic,25,Croazia,Attaccante,Seconda punta,Eintracht Francoforte,30000000,553170,,
178614,Jean Michaël Seri,27,Costa d'Avorio,Centrocampista,Centrale,FC Fulham,30000000,60507,,
159471,Serge Gnabry,23,Germania,Attaccante,Ala sinistra,FC Bayern Monaco,30000000,758908,520043,506275
146854,Wissam Ben Yedder,28,Francia,Attaccante,Punta centrale,FC Siviglia,30000000,186500,46998,94451
145988,Wilfried Zaha,26,Costa d'Avorio,Attaccante,Ala destra,Crystal Palace,30000000,522934,328647,835851
130365,Alessandro Florenzi,27,Italia,Difensore,Terzino destro,AS Roma,30000000,1129748,994405,677395
127189,Geoffrey Kondogbia,25,Repubblica Centrafricana,Centrocampista,Centrale,Valencia CF,30000000,316426,118753,170493
126716,Paco Alcácer,25,Spagna,Attaccante,Punta centrale,Borussia Dortmund,30000000,1628782,151089,289700
122155,Willian José,27,Brasile,Attaccante,Punta centrale,Real Sociedad,30000000,84582,,108691
119296,Emre Can,24,Germania,Centrocampista,Mediano,Juventus FC,30000000,2317273,980530,47747
99343,Ander Herrera,29,Spagna,Centrocampista,Centrale,Manchester United,30000000,3582588,1056778,2492380
90466,Gylfi Sigurdsson,29,Islanda,Centrocampista,Trequartista,FC Everton,30000000,222142,,
85148,Julian Draxler,25,Germania,Centrocampista,Trequartista,FC Paris Saint-Germain,30000000,3822996,1915990,
77760,Victor Wanyama,27,Kenia,Centrocampista,Mediano,Tottenham Hotspur,30000000,335839,,355456
73734,Stodd Nzonzi,29,Francia,Centrocampista,Mediano,AS Roma,30000000,345667,42260,
56416,Dries Mertens,31,Belgio,Attaccante,Punta centrale,SSC Napoli,30000000,1347169,944060,783335
54928,Diego Godín,32,Uruguay,Difensore,Difensore centrale,Atlético de Madrid,30000000,1405333,1027193,557460
51471,Mateo Kovacic,24,Croazia,Centrocampista,Centrale,Chelsea FC,30000000,4447232,1036890,637324
50174,Danny Rose,28,Inghilterra,Difensore,Terzino sinistro,Tottenham Hotspur,30000000,,,
44068,Juan Mata,30,Spagna,Centrocampista,Trequartista,Manchester United,30000000,5051117,9414907,7642054
38593,Marek Hamsik,31,Slovacchia,Centrocampista,Centrale,SSC Napoli,30000000,533712,625468,
35518,David Silva,32,Spagna,Centrocampista,Trequartista,Manchester City,30000000,1127144,2431234,3790987
35047,Axel Witsel,29,Belgio,Centrocampista,Mediano,Borussia Dortmund,30000000,930165,776450,497577
33923,Blaise Matuidi,31,Francia,Centrocampista,Centrale,Juventus FC,30000000,4574944,2095593,2754718
17965,Hugo Lloris,31,Francia,Portiere,Portiere,Tottenham Hotspur,30000000,1025730,,
17259,Manuel Neuer,32,Germania,Portiere,Portiere,FC Bayern Monaco,30000000,10441792,9133975,4062339
294057,James Maddison,22,Inghilterra,Centrocampista,Trequartista,Leicester City,28000000,134386,,61320
286297,Lorenzo Pellegrini,22,Italia,Centrocampista,Centrale,AS Roma,28000000,273061,,18449
258004,Rúben Dias,21,Portogallo,Difensore,Difensore centrale,Benfica Lisbona,28000000,149620,23709,
256178,Joe Gomez,21,Inghilterra,Difensore,Difensore centrale,FC Liverpool,28000000,802837,39270,388677
