onzemondial_google,thesun,marca,bild.de,eurosportDE_google,lequipe_google,mundodeportivo_google,espn_google,bein_google
107,31,65,403,143,1600,163,936,571
120,43,50,423,200,87,147,943,84
312,173,851,144,144,125,2170,558,786
5480,51,27,7,2,102,126,1170,73
1070,25,171,9,6,92,89,3820,130
795,40,112,22,7,46,33,68,125
8,67,18,659,528,71,180,130,152
19,28,294,15,5,33,770,30,133
192,539,26,41,3,108,127,540,250
9,6,113,4,,15,246,29,5
230,737,55,62,50,167,139,165,190
3,1,6,422,134,223,2,3,9
2,270,16,6,5,57,9,80,131
902,11,317,5,6,88,78,150,195
1960,51,1158,18,10,112,1640,873,317
6,801,41,87,51,116,154,365,381
605,15,23,4,4,39,83,54,154
9,11,25,1,,9,70,8,4
1030,57,46,5,6,248,259,6,230
9,30,12,918,471,57,62,62,195
16,90,17,532,365,78,56,69,206
3,18,7,372,269,38,4,3,77
45,77,48,637,251,123,153,68,359
91,159,96,98,61,5260,273,348,951
702,672,108,849,592,130,256,243,370
898,93,321,50,103,220,1170,186,535
48,120,1253,33,50,229,1570,1060,481
119,71,2132,9,7,145,2350,263,751
332,39,694,88,51,190,3260,1590,277
1,10,523,8,,28,1640,9,10
5,326,45,24,41,62,85,159,251
625,1160,673,435,125,6490,1590,1830,1310
347,585,91,772,152,1500,126,327,989
781,332,753,1310,1070,333,1420,2330,1250
2900,201,2268,3120,1580,603,1470,433,1890
4530,292,597,885,227,1810,904,709,1330
4530,865,3471,849,1050,6680,3950,8730,7630
1460,1348,2609,584,656,8230,3310,2810,1820
99,30,27,3,21,121,166,75,76
2420,62,1649,150,6,255,1060,171,548
