,nome,instagram,urls,likes_avg
95,Thomas Müller,https://www.instagram.com/esmuellert/,https://web.stagram.com/esmuellert,101850.2
96,Willian,https://www.instagram.com/willianborges88/,https://web.stagram.com/willianborges88,81977.2
97,Jadon Sancho,https://www.instagram.com/sanchooo10/,https://web.stagram.com/sanchooo10,173910.3
98,Leon Bailey,https://www.instagram.com/leonbailey_9/,https://web.stagram.com/leonbailey_9,22918.7
99,Richarlison,https://www.instagram.com/richarlison/,https://web.stagram.com/richarlison,201611.4
100,Malcom,https://www.instagram.com/malcomoliveira_97/,https://web.stagram.com/malcomoliveira_97,167952.6
101,Christian Pulisic,https://www.instagram.com/cmpulisic/,https://web.stagram.com/cmpulisic,105144.2
102,Fabinho,https://www.instagram.com/fabinho/,https://web.stagram.com/fabinho,73856.0
103,Federico Bernardeschi,https://www.instagram.com/fbernardeschi/,https://web.stagram.com/fbernardeschi,116760.6
104,Corentin Tolisso,https://www.instagram.com/corentintolisso/,https://web.stagram.com/corentintolisso,135288.4
105,Julian Brandt,https://www.instagram.com/julianbrandt/,https://web.stagram.com/julianbrandt,43788.1
106,Harry Maguire,https://www.instagram.com/harrymaguire93/,https://web.stagram.com/harrymaguire93,60385.4
107,Memphis Depay,https://www.instagram.com/memphisdepay/,https://web.stagram.com/memphisdepay,267743.4
108,Benjamin Mendy,https://www.instagram.com/benmendy23/,https://web.stagram.com/benmendy23,107213.2
109,Marcos Alonso,https://www.instagram.com/marcosalonso28/,https://web.stagram.com/marcosalonso28,77930.2
110,Alex Sandro,https://www.instagram.com/alxsndro12/,https://web.stagram.com/alxsndro12,90102.4
111,Aaron Ramsey,https://www.instagram.com/aaronramsey/,https://web.stagram.com/aaronramsey,87672.3
112,Ángel Di María,https://www.instagram.com/angeldimariajm/,https://web.stagram.com/angeldimariajm,145454.8
113,Ivan Perisic,https://www.instagram.com/ivanperisic444/,https://web.stagram.com/ivanperisic444,96473.7
114,Mesut Özil,https://www.instagram.com/M10_OFFICIAL/,https://web.stagram.com/M10_OFFICIAL,411324.2
115,Gerard Piqué,https://www.instagram.com/3gerardpique/,https://web.stagram.com/3gerardpique,524972.1
116,Rodri,,,
117,Benjamin Pavard,https://www.instagram.com/benpavard21/,https://web.stagram.com/benpavard21,193630.5
118,Davinson Sánchez,https://www.instagram.com/daosanchez13/,https://web.stagram.com/daosanchez13,34491.0
119,Frenkie de Jong,https://www.instagram.com/frenkiedejong/,https://web.stagram.com/frenkiedejong,68773.1
120,Lucas Torreira,https://www.instagram.com/ltorreira34/,https://web.stagram.com/ltorreira34,137804.3
121,Hirving Lozano,https://www.instagram.com/hirvinglozano/,https://web.stagram.com/hirvinglozano,192438.8
122,Gianluigi Donnarumma,https://www.instagram.com/gigiodonna99/,https://web.stagram.com/gigiodonna99,63781.1
123,Rúben Neves,https://www.instagram.com/rubendsneves/,https://web.stagram.com/rubendsneves,24982.2
124,Gonçalo Guedes,https://www.instagram.com/goncaloguedes15/,https://web.stagram.com/goncaloguedes15,32234.3
125,Alessio Romagnoli,https://www.instagram.com/alessio.romagnoli/,https://web.stagram.com/alessio.romagnoli,81549.9
126,Andreas Christensen,https://www.instagram.com/andreaschristensen3/,https://web.stagram.com/andreaschristensen3,35742.0
127,Jonathan Tah,https://www.instagram.com/jonathantah_/,https://web.stagram.com/jonathantah_,5527.2
128,Héctor Bellerín,https://www.instagram.com/hectorbellerin/,https://web.stagram.com/hectorbellerin,161652.5
129,Clément Lenglet,https://www.instagram.com/clement_lenglet/,https://web.stagram.com/clement_lenglet,109347.8
130,João Cancelo,https://www.instagram.com/jpcancelo/,https://web.stagram.com/jpcancelo,171117.2
131,Piotr Zielinski,https://www.instagram.com/zielu_94,https://web.stagram.com/zielu_94,33504.0
132,Michy Batshuayi,https://www.instagram.com/mbatshuayi/,https://web.stagram.com/mbatshuayi,82214.8
133,Eric Dier,https://www.instagram.com/ericdier15/,https://web.stagram.com/ericdier15,34933.9
134,Marcelo Brozovic,https://www.instagram.com/marcelo_brozovic/,https://web.stagram.com/marcelo_brozovic,57963.0
135,Leon Goretzka,https://www.instagram.com/leon_goretzka,https://web.stagram.com/leon_goretzka,74519.7
136,Alex Oxlade-Chamberlain,https://www.instagram.com/alexoxchamberlain/,https://web.stagram.com/alexoxchamberlain,149718.8
137,Jesse Lingard,https://www.instagram.com/jesselingard/,https://web.stagram.com/jesselingard,377023.4
138,Allan,https://www.instagram.com/allanmarques91/,https://web.stagram.com/allanmarques91,48387.7
139,Suso,https://www.instagram.com/suso/,https://web.stagram.com/suso,77331.7
140,Granit Xhaka,https://www.instagram.com/granitxhaka/,https://web.stagram.com/granitxhaka,112283.8
141,Stefan de Vrij,https://www.instagram.com/Stefandevrij/,https://web.stagram.com/Stefandevrij,43183.5
142,Stefan Savic,https://www.instagram.com/savkee15/,https://web.stagram.com/savkee15,12078.2
143,Konstantinos Manolas,https://www.instagram.com/kostasmanolas44/,https://web.stagram.com/kostasmanolas44,51690.2
144,Antonio Rüdiger,https://www.instagram.com/toniruediger/,https://web.stagram.com/toniruediger,48930.9
145,Nemanja Matic,https://www.instagram.com/nemanjamatic/,https://web.stagram.com/nemanjamatic,96524.5
146,César Azpilicueta,https://www.instagram.com/cesarazpi/,https://web.stagram.com/cesarazpi,66756.6
147,Ilkay Gündogan,https://www.instagram.com/ilkayguendogan/,https://web.stagram.com/ilkayguendogan,35939.9
148,Georginio Wijnaldum,https://www.instagram.com/gwijnaldum/,https://web.stagram.com/gwijnaldum,75347.7
149,Javi Martínez,https://www.instagram.com/javi8martinez,https://web.stagram.com/javi8martinez,27783.8
150,Toby Alderweireld,https://www.instagram.com/tobyalderweireld/,https://web.stagram.com/tobyalderweireld,25214.9
151,Radja Nainggolan,https://www.instagram.com/radja_nainggolan_l4/,https://web.stagram.com/radja_nainggolan_l4,211375.4
152,Marco Reus,https://www.instagram.com/marcinho11/,https://web.stagram.com/marcinho11,358456.4
153,Jérôme Boateng,https://www.instagram.com/jeromeboateng,https://web.stagram.com/jeromeboateng,68551.8
154,Sergio Ramos,https://www.instagram.com/sergioramos/,https://web.stagram.com/sergioramos,543857.4
155,Karim Benzema,https://www.instagram.com/karimbenzema/,https://web.stagram.com/karimbenzema,308339.8
156,Paulinho,https://www.instagram.com/paulinhop8/,https://web.stagram.com/paulinhop8,60189.0
157,Tanguy Ndombélé,https://www.instagram.com/ndombele_22/,https://web.stagram.com/ndombele_22,20863.2
158,Houssem Aouar,https://www.instagram.com/houssem_aouar/,https://web.stagram.com/houssem_aouar,24540.2
159,Ryan Sessegnon,https://www.instagram.com/ryansess/,https://web.stagram.com/ryansess,17616.5
160,Vinícius Júnior,https://www.instagram.com/viniciusjunior/,https://web.stagram.com/viniciusjunior,596744.2
161,Mikel Oyarzabal,https://www.instagram.com/mikel10oyar/,https://web.stagram.com/mikel10oyar,6284.8
162,Trent Alexander-Arnold,https://www.instagram.com/trentarnold66/,https://web.stagram.com/trentarnold66,144142.4
163,Franck Kessié,https://www.instagram.com/franckkessie/,https://web.stagram.com/franckkessie,46975.9
164,Wilfred Ndidi,https://www.instagram.com/ndidi25/,https://web.stagram.com/ndidi25,25495.8
165,Andrew Robertson,https://www.instagram.com/andyrobertson94/,https://web.stagram.com/andyrobertson94,112468.0
166,Thomas,https://www.instagram.com/thomaspartey5/,https://web.stagram.com/thomaspartey5,19520.4
167,José Gayà,https://www.instagram.com/jose_gaya/,https://web.stagram.com/jose_gaya,13370.2
168,Tiemoué Bakayoko,https://www.instagram.com/bakayoko_official14/,https://web.stagram.com/bakayoko_official14,70384.2
169,Andrea Belotti,https://www.instagram.com/gallobelotti/,https://web.stagram.com/gallobelotti,42180.4
170,Felipe Anderson,https://www.instagram.com/f_andersoon/,https://web.stagram.com/f_andersoon,23575.8
171,Jordan Pickford,https://www.instagram.com/jpickford1/,https://web.stagram.com/jpickford1,92960.9
172,Luis Alberto,https://www.instagram.com/10_luisalberto/,https://web.stagram.com/10_luisalberto,11150.3
173,Kieran Trippier,https://www.instagram.com/ktrippier2/,https://web.stagram.com/ktrippier2,58606.2
174,Pablo Sarabia,https://www.instagram.com/pablosarabia92/,https://web.stagram.com/pablosarabia92,9065.3
175,Nacho Fernández,https://www.instagram.com/nachofdez90/,https://web.stagram.com/nachofdez90,95635.4
176,Henrikh Mkhitaryan,https://www.instagram.com/micki_taryan/,https://web.stagram.com/micki_taryan,71551.3
177,Nicolás Otamendi,https://www.instagram.com/nicolasotamendi30/,https://web.stagram.com/nicolasotamendi30,37911.2
178,Andrej Kramaric,https://www.instagram.com/andrejkramaric/,https://web.stagram.com/andrejkramaric,27831.2
179,Leonardo Bonucci,https://www.instagram.com/bonuccileo19/,https://web.stagram.com/bonuccileo19,111790.2
180,Manuel Akanji,https://www.instagram.com/obafemi_36/,https://web.stagram.com/obafemi_36,16635.0
181,Iñigo Martínez,https://www.instagram.com/inigomartinez/,https://web.stagram.com/inigomartinez,5937.9
182,Lucas Moura,https://www.instagram.com/lucasmoura7/,https://web.stagram.com/lucasmoura7,101846.0
183,Jan Vertonghen,https://www.instagram.com/jvertonghen/,https://web.stagram.com/jvertonghen,31119.2
184,Maximiliano Gómez,https://www.instagram.com/maxi_gomez9/,https://web.stagram.com/maxi_gomez9,6231.6
185,Carlos Soler,https://www.instagram.com/carlos10soler/,https://web.stagram.com/carlos10soler,12062.7
186,Giovani Lo Celso,https://www.instagram.com/locelsogiovani/,https://web.stagram.com/locelsogiovani,81500.6
187,Dayot Upamecano,https://www.instagram.com/upamecano_5/,https://web.stagram.com/upamecano_5,3259.8
188,Yerry Mina,https://www.instagram.com/yerrymina/,https://web.stagram.com/yerrymina,130064.3
189,Eric Bailly,https://www.instagram.com/ericbailly24/,https://web.stagram.com/ericbailly24,87028.4
190,Presnel Kimpembe,https://www.instagram.com/kimpembe3/,https://web.stagram.com/kimpembe3,129412.9
191,Álvaro Odriozola,https://www.instagram.com/alvaroodriozola/,https://web.stagram.com/alvaroodriozola,63531.3
192,Ángel Correa,https://www.instagram.com/angelcorrea32/,https://web.stagram.com/angelcorrea32,22471.5
193,Aleksandr Golovin,https://www.instagram.com/alex_golovin17/,https://web.stagram.com/alex_golovin17,78247.6
194,Gelson Martins,https://www.instagram.com/gelsondany77/,https://web.stagram.com/gelsondany77,14241.6
195,Nicolò Barella,https://www.instagram.com/nicolo_barella/,https://web.stagram.com/nicolo_barella,14677.3
196,Iñaki Williams,https://www.instagram.com/williaaaams11/,https://web.stagram.com/williaaaams11,11870.1
197,Keita Baldé,https://www.instagram.com/keitabaldeofficial/,https://web.stagram.com/keitabaldeofficial,40083.8
198,Nélson Semedo,https://www.instagram.com/nelsonsemedo50/,https://web.stagram.com/nelsonsemedo50,89683.6
199,Thilo Kehrer,https://www.instagram.com/thilokehrer/,https://web.stagram.com/thilokehrer,36391.8
200,Hakim Ziyech,https://www.instagram.com/hziyech/,https://web.stagram.com/hziyech,103945.9
201,André Silva,https://www.instagram.com/andresilva9/,https://web.stagram.com/andresilva9,124646.2
202,Ante Rebic,https://www.instagram.com/anterebic/,https://web.stagram.com/anterebic,69237.3
203,Jean Michaël Seri,https://www.instagram.com/mika_seri6/,https://web.stagram.com/mika_seri6,7657.1
204,Serge Gnabry,https://www.instagram.com/sergegnabry#,https://web.stagram.com/sergegnabry#,35045.4
205,Wissam Ben Yedder,https://www.instagram.com/wissbenyedder/,https://web.stagram.com/wissbenyedder,15233.7
206,Wilfried Zaha,https://www.instagram.com/wilfriedzaha/,https://web.stagram.com/wilfriedzaha,20691.9
207,Alessandro Florenzi,https://www.instagram.com/florenzipertelethon/,https://web.stagram.com/florenzipertelethon,57079.2
208,Geoffrey Kondogbia,https://www.instagram.com/geoffreykondogbia/,https://web.stagram.com/geoffreykondogbia,15472.5
209,Paco Alcácer,https://www.instagram.com/paco93alcacer/,https://web.stagram.com/paco93alcacer,178472.4
210,Willian José,https://www.instagram.com/willianjose/,https://web.stagram.com/willianjose,4067.9
211,Emre Can,https://www.instagram.com/ec2323/,https://web.stagram.com/ec2323,127806.4
212,Ander Herrera,https://www.instagram.com/anderherrera/,https://web.stagram.com/anderherrera,87623.5
213,Gylfi Sigurdsson,https://www.instagram.com/gylfisig23/,https://web.stagram.com/gylfisig23,17965.4
214,Julian Draxler,https://www.instagram.com/draxlerofficial/,https://web.stagram.com/draxlerofficial,127197.6
215,Victor Wanyama,https://www.instagram.com/victorwanyama/,https://web.stagram.com/victorwanyama,18824.6
216,Stodd Nzonzi,https://www.instagram.com/iamnzonzi15/,https://web.stagram.com/iamnzonzi15,51631.8
217,Dries Mertens,https://www.instagram.com/driesmertens,https://web.stagram.com/driesmertens,132070.8
218,Diego Godín,https://www.instagram.com/diegogodin/,https://web.stagram.com/diegogodin,37271.2
219,Mateo Kovacic,https://www.instagram.com/mateokovacic8/,https://web.stagram.com/mateokovacic8,164007.0
220,Danny Rose,,,
221,Juan Mata,https://www.instagram.com/juanmatagarcia,https://web.stagram.com/juanmatagarcia,120868.2
222,Marek Hamsik,https://www.instagram.com/marek_hamsik_17_official/,https://web.stagram.com/marek_hamsik_17_official,48392.8
223,David Silva,https://www.instagram.com/david21lva/,https://web.stagram.com/david21lva,59564.8
224,Axel Witsel,https://www.instagram.com/axelwitsel28,https://web.stagram.com/axelwitsel28,48131.8
225,Blaise Matuidi,https://www.instagram.com/blaisematuidiofficiel/,https://web.stagram.com/blaisematuidiofficiel,99739.7
226,Hugo Lloris,https://www.instagram.com/iamhugolloris/,https://web.stagram.com/iamhugolloris,189667.9
227,Manuel Neuer,https://www.instagram.com/manuelneuer/,https://web.stagram.com/manuelneuer,185831.7
228,James Maddison,https://www.instagram.com/madders/,https://web.stagram.com/madders,27659.8
229,Lorenzo Pellegrini,https://www.instagram.com/lorepelle7/,https://web.stagram.com/lorepelle7,21918.2
230,Rúben Dias,https://www.instagram.com/rubendias/,https://web.stagram.com/rubendias,15664.4
231,Joe Gomez,https://www.instagram.com/joegomez5/,https://web.stagram.com/joegomez5,71070.8
232,Rony Lopes,https://www.instagram.com/ronylopes10/,https://web.stagram.com/ronylopes10,3932.4
233,Alassane Plea,https://www.instagram.com/alasplea/,https://web.stagram.com/alasplea,16205.5
234,Rafinha,https://www.instagram.com/rafinhaaa93/,https://web.stagram.com/rafinhaaa93,126213.4
235,Juan Cuadrado,https://www.instagram.com/cuadrado/,https://web.stagram.com/cuadrado,181269.1
236,Oscar,https://www.instagram.com/oscar_emboaba/,https://web.stagram.com/oscar_emboaba,33853.0
237,Kevin Strootman,https://www.instagram.com/kevinstrootman/,https://web.stagram.com/kevinstrootman,21236.8
238,Jordan Henderson,https://www.instagram.com/jhenderson/,https://web.stagram.com/jhenderson,86238.1
239,Cengiz Ünder,https://www.instagram.com/cengizunder,https://web.stagram.com/cengizunder,139861.8
240,Hakan Calhanoglu,https://www.instagram.com/hakancalhanoglu,https://web.stagram.com/hakancalhanoglu,125490.2
241,Bruno Fernandes,https://www.instagram.com/brunofernandes.10/,https://web.stagram.com/brunofernandes.10,20362.6
242,Yacine Brahimi,https://www.instagram.com/brahimiofficiel/,https://web.stagram.com/brahimiofficiel,35933.0
243,David Neres,https://www.instagram.com/davidneres/,https://web.stagram.com/davidneres,45567.8
244,Paulinho,https://www.instagram.com/paulinhoph7/,https://web.stagram.com/paulinhoph7,49090.5
245,Santiago Ascacíbar,https://www.instagram.com/santiascacibar97/,https://web.stagram.com/santiascacibar97,9075.9
246,Nikola Milenkovic,https://www.instagram.com/milenkovicn_4/,https://web.stagram.com/milenkovicn_4,8174.7
247,Lautaro Martínez,https://www.instagram.com/lautaromartinezz10/,https://web.stagram.com/lautaromartinezz10,149064.1
248,Amine Harit,https://www.instagram.com/a.harit14/,https://web.stagram.com/a.harit14,59124.7
249,Pablo Fornals,https://www.instagram.com/pablofornals/,https://web.stagram.com/pablofornals,4215.8
250,André Zambo Anguissa,https://www.instagram.com/anguiss_29/,https://web.stagram.com/anguiss_29,10035.8
251,Lucas Tousart,https://www.instagram.com/lucas_tousart/,https://web.stagram.com/lucas_tousart,7905.9
252,Fabián Ruiz,https://www.instagram.com/fabianruiz52/,https://web.stagram.com/fabianruiz52,33354.7
253,Nicolas Pépé,https://www.instagram.com/nicolas.pepe19/,https://web.stagram.com/nicolas.pepe19,9514.4
254,Moussa Marega,https://www.instagram.com/marega11/,https://web.stagram.com/marega11,16884.0
255,Giovanni Simeone,https://www.instagram.com/simeonegiovanni/,https://web.stagram.com/simeonegiovanni,22327.8
256,Jean-Kévin Augustin,https://www.instagram.com/augustin_29/,https://web.stagram.com/augustin_29,4750.5
257,Jefferson Lerma,https://www.instagram.com/jeffersonlerma/,https://web.stagram.com/jeffersonlerma,3562.2
258,Talisca,https://www.instagram.com/andersontalisca/,https://web.stagram.com/andersontalisca,17370.7
259,Alex Telles,https://www.instagram.com/alextelles13,https://web.stagram.com/alextelles13,18682.8
260,Abdou Diallo,,,
261,Wendell,https://www.instagram.com/wendellborges18/,https://web.stagram.com/wendellborges18,2855.2
262,Lucas Vázquez,https://www.instagram.com/lucasvazquez91/,https://web.stagram.com/lucasvazquez91,200357.9
263,Elseid Hysaj,https://www.instagram.com/elsihysaj/,https://web.stagram.com/elsihysaj,14667.1
