nome,wiki,urls,wiki_visual,wiki_avg
Serge Gnabry,https://en.wikipedia.org/wiki/Serge_Gnabry,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Serge_Gnabry,367739,1039
Wissam Ben Yedder,https://en.wikipedia.org/wiki/Wissam_Ben_Yedder,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Wissam_Ben_Yedder,501615,1417
Wilfried Zaha,https://en.wikipedia.org/wiki/Wilfried_Zaha,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Wilfried_Zaha,713870,2017
Alessandro Florenzi,https://en.wikipedia.org/wiki/Alessandro_Florenzi,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Alessandro_Florenzi,119887,339
Geoffrey Kondogbia,https://en.wikipedia.org/wiki/Geoffrey_Kondogbia,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Geoffrey_Kondogbia,193779,547
Paco Alcácer,https://en.wikipedia.org/wiki/Paco_Alcácer,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Paco_Alcácer,584797,1652
Willian José,https://en.wikipedia.org/wiki/Willian_José,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Willian_José,113239,320
Emre Can,https://en.wikipedia.org/wiki/Emre_Can,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Emre_Can,705015,1992
Ander Herrera,https://en.wikipedia.org/wiki/Ander_Herrera,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Ander_Herrera,324179,916
Gylfi Sigurdsson,https://en.wikipedia.org/wiki/Gylfi_Sigurðsson,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Gylfi_Sigurðsson,408807,1155
Julian Draxler,https://en.wikipedia.org/wiki/Julian_Draxler,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Julian_Draxler,455624,1287
Victor Wanyama,https://en.wikipedia.org/wiki/Victor_Wanyama,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Victor_Wanyama,240008,678
Steven Nzonzi,https://en.wikipedia.org/wiki/Steven_Nzonzi,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Steven_Nzonzi,638688,1804
