nome,nome_chiave,nome2,insta_hashtag
Lorenzo Pellegrini,Lorenzo Pellegrini,lorenzopellegrini,2132
Rúben Dias,Rúben Dias,rubendias,433
Joe Gomez,Joe Gomez,joegomez,9147
Rony Lopes,Rony Lopes,ronylopes,975
Alassane Plea,Plea,plea,14486
Rafinha,Rafinha Alcantara,rafinhaalcantara,17569
Juan Cuadrado,Cuadrado,cuadrado,124724
Oscar Dos Santos,Oscar Dos Santos,oscardossantos,2230
Kevin Strootman,Strootman,strootman,28542
Jordan Henderson,Jordan Henderson,jordanhenderson,21337
Cengiz Ünder,Cengiz Ünder,cengizunder,11716
Hakan Calhanoglu,Hakan Calhanoglu,hakancalhanoglu,30069
Bruno Fernandes,Bruno Fernandes,brunofernandes,2847
Yacine Brahimi,Yacine Brahimi,yacinebrahimi,1977
David Neres,David Neres,davidneres,2651
Paulinho,Paulinho,paulinho,189102
Santiago Ascacíbar,Ascacíbar,ascacibar,1082
Nikola Milenkovic,Milenkovic,milenkovic,929
Lautaro Martínez,Lautaro Martínez,lautaromartinez,18047
Amine Harit,Amine Harit,amineharit,6625
Pablo Fornals,Fornals,fornals,1048
André Zambo Anguissa,Anguissa,andrezamboanguissa,857
Lucas Tousart,Tousart,tousart,1132
Fabián Ruiz,Fabián Ruiz,fabianruiz,3895
Nicolas Pépé,Nicolas Pépé,nicolaspepe,332
Moussa Marega,Marega,marega,3655
Giovanni Simeone,Giovanni Simeone,giovannisimeone,1396
Jean-Kévin Augustin,Jean-Kévin Augustin,jeankevinaugustin,508
Jefferson Lerma,Lerma,lerma,27103
Talisca,Talisca,talisca,100939
Alex Telles,Alex Telles,alextelles,28725
Abdou Diallo,Diallo,diallo,5554
Wendell,Wendell,wendell,31129
Lucas Vázquez,Lucas Vázquez,lucasvazquez,68961
Elseid Hysaj,Hysaj,hysaj,4995
Bryan Cristante,Cristante,cristante,7148
Mattia Caldara,Caldara,caldara,13056
Julian Weigl,Julian Weigl,julianweigl,11650
Alejandro Grimaldo,Grimaldo,grimaldo,3325
Ben Davies,Ben Davies,bendavies,2913
Stanislav Lobotka,Lobotka,lobotka,520
Victor Lindelöf,Lindelof,lindelof,46071
Jean-Philippe Gbamin,Gbamin,gbamin,194
Nathan Aké,Nathan Aké,nathanake,3059
Matteo Politano,Politano,politano,9952
Matías Vecino,Vecino,vecino,62448
