nome,squadra,nazione_squadra
David Silva,Manchester City,Inghilterra
Axel Witsel,Borussia Dortmund,Germania
Blaise Matuidi,Juventus FC,Italia
Hugo Lloris,Tottenham Hotspur,Inghilterra
Manuel Neuer,FC Bayern Monaco,Germania
James Maddison,Leicester City,Inghilterra
Lorenzo Pellegrini,AS Roma,Italia
Rúben Dias,Benfica Lisbona,Portogallo
Joe Gomez,FC Liverpool,Inghilterra
Rony Lopes,AS Monaco,Francia
Alassane Plea,Borussia Mönchengladbach,Germania
Rafinha,FC Barcellona,Spagna
Juan Cuadrado,Juventus FC,Italia
Oscar Dos Santos,Shanghai SIPG,Cina
Kevin Strootman,Olympique Marsiglia,Francia
Jordan Henderson,FC Liverpool,Inghilterra
Cengiz Ünder,AS Roma,Italia
Hakan Calhanoglu,AC Milan,Italia
Bruno Fernandes,Sporting CP,Portogallo
Yacine Brahimi,FC Porto,Portogallo
David Neres,AFC Ajax Amsterdam,Olanda
Paulinho,Bayer 04 Leverkusen,Germania
Santiago Ascacíbar,VfB Stoccarda,Germania
Nikola Milenkovic,ACF Fiorentina,Italia
Lautaro Martínez,FC Internazionale,Italia
Amine Harit,FC Schalke 04,Germania
Pablo Fornals,Villarreal CF,Spagna
André Zambo Anguissa,FC Fulham,Inghilterra
Lucas Tousart,Olympique Lione,Francia
Fabián Ruiz,SSC Napoli,Italia
Nicolas Pépé,LOSC Lilla,Francia
Moussa Marega,FC Porto,Portogallo
Giovanni Simeone,ACF Fiorentina,Italia
Jean-Kévin Augustin,RasenBallsport Lipsia,Germania
Jefferson Lerma,AFC Bournemouth,Inghilterra
Talisca,Guangzhou Evergrande Taobao,Cina
Alex Telles,FC Porto,Portogallo
Abdou Diallo,Borussia Dortmund,Germania
Wendell,Bayer 04 Leverkusen,Germania
Lucas Vázquez,Real Madrid CF,Spagna
Elseid Hysaj,SSC Napoli,Italia
Bryan Cristante,AS Roma,Italia
Mattia Caldara,AC Milan,Italia
Julian Weigl,Borussia Dortmund,Germania
Alejandro Grimaldo,Benfica Lisbona,Portogallo
Ben Davies,Tottenham Hotspur,Inghilterra
Stanislav Lobotka,Celta de Vigo,Spagna
Victor Lindelöf,Manchester United,Inghilterra
Jean-Philippe Gbamin,1.FSV Magonza 05,Germania
Nathan Aké,AFC Bournemouth,Inghilterra
Matteo Politano,FC Internazionale,Italia
Matías Vecino,FC Internazionale,Italia
Ross Barkley,Chelsea FC,Inghilterra
Simone Verdi,SSC Napoli,Italia
Dennis Praet,UC Sampdoria,Italia
Faouzi Ghoulam,SSC Napoli,Italia
Matthias Ginter,Borussia Mönchengladbach,Germania
Emil Forsberg,RasenBallsport Lipsia,Germania
Marcel Sabitzer,RasenBallsport Lipsia,Germania
Thorgan Hazard,Borussia Mönchengladbach,Germania
Thomas Meunier,FC Paris Saint-Germain,Francia
Shkodran Mustafi,FC Arsenal,Inghilterra
Sime Vrsaljko,FC Internazionale,Italia
Iago Aspas,Celta de Vigo,Spagna
Vitolo,Atlético de Madrid,Spagna
