,season,goals,name
5,Season 17/18,3,Filip Bradaric
0,Season 07/08,7,Filip Djordjevic
1,Season 08/09,2,Filip Djordjevic
2,Season 09/10,2,Filip Djordjevic
3,Season 10/11,15,Filip Djordjevic
4,Season 11/12,6,Filip Djordjevic
5,Season 12/13,23,Filip Djordjevic
6,Season 13/14,12,Filip Djordjevic
7,Season 14/15,9,Filip Djordjevic
8,Season 15/16,6,Filip Djordjevic
9,Season 16/17,1,Filip Djordjevic
0,Season 09/10,1,Filip Djuricic
1,Season 10/11,2,Filip Djuricic
2,Season 11/12,13,Filip Djuricic
3,Season 12/13,10,Filip Djuricic
4,Season 13/14,2,Filip Djuricic
5,Season 15/16,1,Filip Djuricic
6,Season 18/19,1,Filip Djuricic
0,Season 12/13,1,Filip Helander
1,Season 2014,2,Filip Helander
2,Season 15/16,2,Filip Helander
3,Season 16/17,1,Filip Helander
0,Season 10/11,2,Filip Kostic
1,Season 11/12,3,Filip Kostic
2,Season 12/13,8,Filip Kostic
3,Season 13/14,12,Filip Kostic
4,Season 14/15,3,Filip Kostic
5,Season 15/16,5,Filip Kostic
6,Season 16/17,4,Filip Kostic
7,Season 17/18,5,Filip Kostic
8,Season 18/19,2,Filip Kostic
0,Season 07/08,1,Filipe Luís
1,Season 08/09,2,Filipe Luís
2,Season 09/10,4,Filipe Luís
3,Season 10/11,1,Filipe Luís
4,Season 12/13,3,Filipe Luís
5,Season 13/14,1,Filipe Luís
6,Season 14/15,1,Filipe Luís
7,Season 15/16,1,Filipe Luís
8,Season 16/17,3,Filipe Luís
9,Season 17/18,1,Filipe Luís
10,Season 18/19,2,Filipe Luís
0,Season 12/13,1,Filippo Costa
1,Season 13/14,4,Filippo Costa
2,Season 16/17,1,Filippo Costa
0,Season 13/14,1,Filippo Romagna
1,Season 15/16,2,Filippo Romagna
0,Season 04/05,9,Fin Bartels
1,Season 05/06,1,Fin Bartels
2,Season 06/07,5,Fin Bartels
3,Season 07/08,10,Fin Bartels
4,Season 08/09,6,Fin Bartels
5,Season 09/10,4,Fin Bartels
6,Season 10/11,2,Fin Bartels
7,Season 11/12,6,Fin Bartels
8,Season 12/13,7,Fin Bartels
9,Season 13/14,7,Fin Bartels
10,Season 14/15,5,Fin Bartels
11,Season 15/16,9,Fin Bartels
12,Season 16/17,8,Fin Bartels
13,Season 17/18,2,Fin Bartels
0,Season 17/18,1,Finn Dahmen
0,Season 13/14,5,Firmin Mubele
1,Season 15/16,4,Firmin Mubele
2,Season 16/17,12,Firmin Mubele
3,Season 17/18,7,Firmin Mubele
0,Season 13/14,4,Flavien Tait
1,Season 14/15,1,Flavien Tait
2,Season 15/16,4,Flavien Tait
3,Season 16/17,2,Flavien Tait
4,Season 17/18,4,Flavien Tait
5,Season 18/19,2,Flavien Tait
0,Season 04/05,6,Florent Balmont
1,Season 05/06,1,Florent Balmont
2,Season 07/08,1,Florent Balmont
3,Season 08/09,1,Florent Balmont
4,Season 09/10,3,Florent Balmont
5,Season 11/12,3,Florent Balmont
6,Season 12/13,3,Florent Balmont
7,Season 14/15,2,Florent Balmont
8,Season 17/18,1,Florent Balmont
0,Season 12/13,2,Florent Hadergjonaj
1,Season 13/14,1,Florent Hadergjonaj
2,Season 16/17,1,Florent Hadergjonaj
0,Season 12/13,4,Florent Mollet
1,Season 14/15,1,Florent Mollet
2,Season 15/16,11,Florent Mollet
3,Season 16/17,1,Florent Mollet
4,Season 17/18,7,Florent Mollet
5,Season 18/19,1,Florent Mollet
0,Season 14/15,7,Florent Muslija
1,Season 15/16,2,Florent Muslija
2,Season 16/17,7,Florent Muslija
3,Season 17/18,1,Florent Muslija
4,Season 18/19,4,Florent Muslija
0,Season 14/15,1,Florian Baak
1,Season 15/16,12,Florian Baak
2,Season 16/17,3,Florian Baak
3,Season 17/18,1,Florian Baak
4,Season 18/19,2,Florian Baak
0,Season 10/11,11,Florian Grillitsch
1,Season 11/12,11,Florian Grillitsch
2,Season 12/13,22,Florian Grillitsch
3,Season 13/14,10,Florian Grillitsch
4,Season 14/15,9,Florian Grillitsch
5,Season 15/16,4,Florian Grillitsch
6,Season 16/17,2,Florian Grillitsch
7,Season 17/18,2,Florian Grillitsch
8,Season 18/19,1,Florian Grillitsch
0,Season 08/09,13,Florian Kainz
1,Season 09/10,5,Florian Kainz
2,Season 10/11,7,Florian Kainz
3,Season 11/12,7,Florian Kainz
4,Season 12/13,3,Florian Kainz
5,Season 13/14,9,Florian Kainz
6,Season 14/15,4,Florian Kainz
7,Season 15/16,11,Florian Kainz
8,Season 16/17,2,Florian Kainz
9,Season 17/18,4,Florian Kainz
10,Season 18/19,2,Florian Kainz
0,Season 12/13,6,Florian Kath
1,Season 13/14,1,Florian Kath
2,Season 14/15,3,Florian Kath
3,Season 15/16,5,Florian Kath
4,Season 16/17,3,Florian Kath
5,Season 17/18,4,Florian Kath
0,Season 10/11,3,Florian Lejeune
1,Season 11/12,2,Florian Lejeune
2,Season 14/15,5,Florian Lejeune
3,Season 15/16,3,Florian Lejeune
4,Season 16/17,1,Florian Lejeune
0,Season 14/15,1,Florian Mayer
0,Season 16/17,4,Florian Miguel
1,Season 17/18,5,Florian Miguel
0,Season 13/14,6,Florian Neuhaus
1,Season 15/16,7,Florian Neuhaus
2,Season 16/17,3,Florian Neuhaus
3,Season 17/18,6,Florian Neuhaus
4,Season 18/19,2,Florian Neuhaus
0,Season 10/11,19,Florian Niederlechner
1,Season 11/12,10,Florian Niederlechner
2,Season 12/13,14,Florian Niederlechner
3,Season 13/14,11,Florian Niederlechner
4,Season 14/15,15,Florian Niederlechner
5,Season 15/16,8,Florian Niederlechner
6,Season 16/17,12,Florian Niederlechner
7,Season 17/18,2,Florian Niederlechner
8,Season 18/19,1,Florian Niederlechner
0,Season 12/13,10,Florian Thauvin
1,Season 13/14,10,Florian Thauvin
2,Season 14/15,5,Florian Thauvin
3,Season 15/16,6,Florian Thauvin
4,Season 16/17,15,Florian Thauvin
5,Season 17/18,26,Florian Thauvin
6,Season 18/19,12,Florian Thauvin
0,Season 13/14,12,Florin Andone
1,Season 14/15,9,Florin Andone
2,Season 15/16,21,Florin Andone
3,Season 16/17,12,Florin Andone
4,Season 17/18,6,Florin Andone
5,Season 18/19,2,Florin Andone
0,Season 08/09,3,Floyd Ayité
1,Season 09/10,1,Floyd Ayité
2,Season 11/12,3,Floyd Ayité
3,Season 12/13,2,Floyd Ayité
4,Season 13/14,6,Floyd Ayité
5,Season 14/15,9,Floyd Ayité
6,Season 15/16,7,Floyd Ayité
7,Season 16/17,9,Floyd Ayité
8,Season 17/18,4,Floyd Ayité
0,Season 15/16,1,Fodé Ballo-Touré
0,Season 12/13,1,Fouad Chafik
1,Season 15/16,2,Fouad Chafik
0,Season 17/18,6,Fousseni Diabaté
1,Season 18/19,1,Fousseni Diabaté
0,Season 16/17,1,Fran Beltrán
0,Season 07/08,2,Francesco Acerbi
1,Season 10/11,2,Francesco Acerbi
2,Season 11/12,1,Francesco Acerbi
3,Season 14/15,3,Francesco Acerbi
4,Season 15/16,4,Francesco Acerbi
5,Season 16/17,4,Francesco Acerbi
6,Season 18/19,2,Francesco Acerbi
0,Season 08/09,10,Francesco Caputo
1,Season 09/10,7,Francesco Caputo
2,Season 10/11,6,Francesco Caputo
3,Season 11/12,10,Francesco Caputo
4,Season 12/13,17,Francesco Caputo
5,Season 14/15,10,Francesco Caputo
6,Season 15/16,17,Francesco Caputo
7,Season 16/17,18,Francesco Caputo
8,Season 17/18,27,Francesco Caputo
9,Season 18/19,8,Francesco Caputo
0,Season 14/15,7,Francesco Cassata
1,Season 15/16,6,Francesco Cassata
2,Season 16/17,1,Francesco Cassata
3,Season 17/18,1,Francesco Cassata
4,Season 18/19,1,Francesco Cassata
0,Season 06/07,1,Francesco Magnanelli
1,Season 07/08,1,Francesco Magnanelli
2,Season 10/11,2,Francesco Magnanelli
3,Season 12/13,1,Francesco Magnanelli
4,Season 14/15,1,Francesco Magnanelli
5,Season 15/16,1,Francesco Magnanelli
6,Season 16/17,1,Francesco Magnanelli
7,Season 18/19,1,Francesco Magnanelli
0,Season 14/15,1,Francesco Rossi
0,Season 14/15,1,Francesco Vicari
1,Season 16/17,1,Francesco Vicari
2,Season 17/18,1,Francesco Vicari
0,Season 13/14,2,Francesco Zampano
1,Season 15/16,1,Francesco Zampano
0,Season 09/10,2,Francis Coquelin
1,Season 10/11,1,Francis Coquelin
2,Season 13/14,1,Francis Coquelin
3,Season 17/18,1,Francis Coquelin
0,Season 15/16,1,Francis Guerrero
1,Season 17/18,1,Francis Guerrero
0,Season 12/13,3,Francisco Portillo
1,Season 13/14,3,Francisco Portillo
2,Season 16/17,4,Francisco Portillo
3,Season 17/18,2,Francisco Portillo
4,Season 18/19,1,Francisco Portillo
0,Season 15/16,1,Francisco Sierralta
0,Season 15/16,4,Franck Kessié
1,Season 16/17,7,Franck Kessié
2,Season 17/18,5,Franck Kessié
3,Season 18/19,3,Franck Kessié
0,Season 03/04,1,Franck Ribéry
1,Season 04/05,2,Franck Ribéry
2,Season 05/06,12,Franck Ribéry
3,Season 06/07,6,Franck Ribéry
4,Season 07/08,19,Franck Ribéry
5,Season 08/09,14,Franck Ribéry
6,Season 09/10,7,Franck Ribéry
7,Season 10/11,11,Franck Ribéry
8,Season 11/12,17,Franck Ribéry
9,Season 12/13,11,Franck Ribéry
10,Season 13/14,16,Franck Ribéry
11,Season 14/15,9,Franck Ribéry
12,Season 15/16,2,Franck Ribéry
13,Season 16/17,5,Franck Ribéry
14,Season 17/18,6,Franck Ribéry
15,Season 18/19,2,Franck Ribéry
0,Season 09/10,4,Franck Tabanou
1,Season 10/11,4,Franck Tabanou
2,Season 11/12,3,Franck Tabanou
3,Season 12/13,5,Franck Tabanou
4,Season 13/14,4,Franck Tabanou
5,Season 14/15,2,Franck Tabanou
0,Season 09/10,4,Franco Di Santo
1,Season 10/11,1,Franco Di Santo
2,Season 11/12,7,Franco Di Santo
3,Season 12/13,5,Franco Di Santo
4,Season 13/14,4,Franco Di Santo
5,Season 14/15,14,Franco Di Santo
6,Season 15/16,8,Franco Di Santo
7,Season 17/18,4,Franco Di Santo
0,Season 09/10,4,Franco Vázquez
1,Season 10/11,5,Franco Vázquez
2,Season 11/12,2,Franco Vázquez
3,Season 12/13,3,Franco Vázquez
4,Season 13/14,7,Franco Vázquez
5,Season 14/15,10,Franco Vázquez
6,Season 15/16,8,Franco Vázquez
7,Season 16/17,8,Franco Vázquez
8,Season 17/18,5,Franco Vázquez
9,Season 18/19,3,Franco Vázquez
0,Season 14/15,4,François Kamano
1,Season 15/16,4,François Kamano
2,Season 16/17,8,François Kamano
3,Season 17/18,8,François Kamano
4,Season 18/19,11,François Kamano
0,Season 07/08,1,François Moubandje
1,Season 11/12,1,François Moubandje
2,Season 12/13,1,François Moubandje
3,Season 13/14,1,François Moubandje
4,Season 15/16,1,François Moubandje
5,Season 17/18,1,François Moubandje
0,Season 2012,6,Fred
1,Season 2013,1,Fred
2,Season 13/14,4,Fred
3,Season 14/15,1,Fred
4,Season 15/16,2,Fred
5,Season 16/17,4,Fred
6,Season 17/18,4,Fred
7,Season 18/19,1,Fred
0,Season 15/16,4,Fredrik Jensen
1,Season 16/17,6,Fredrik Jensen
2,Season 17/18,5,Fredrik Jensen
0,Season 17/18,1,Frédéric Guilbert
0,Season 08/09,7,Frédéric Sammaritano
1,Season 09/10,3,Frédéric Sammaritano
2,Season 10/11,7,Frédéric Sammaritano
3,Season 11/12,5,Frédéric Sammaritano
4,Season 12/13,1,Frédéric Sammaritano
5,Season 13/14,6,Frédéric Sammaritano
6,Season 14/15,4,Frédéric Sammaritano
7,Season 15/16,7,Frédéric Sammaritano
8,Season 16/17,4,Frédéric Sammaritano
9,Season 17/18,1,Frédéric Sammaritano
0,Season 12/13,1,Frédéric Veseli
1,Season 14/15,1,Frédéric Veseli
0,Season 10/11,2,Fábio
1,Season 12/13,1,Fábio
2,Season 13/14,1,Fábio
3,Season 15/16,1,Fábio
4,Season 17/18,2,Fábio
0,Season 09/10,1,Férébory Doré
1,Season 10/11,6,Férébory Doré
2,Season 11/12,3,Férébory Doré
3,Season 12/13,4,Férébory Doré
4,Season 13/14,14,Férébory Doré
5,Season 14/15,4,Férébory Doré
6,Season 17/18,3,Férébory Doré
0,Season 07/08,1,Féthi Harek
1,Season 09/10,1,Féthi Harek
2,Season 11/12,2,Féthi Harek
3,Season 17/18,2,Féthi Harek
0,Season 2014,2,Gabriel Boschilia
1,Season 2015,1,Gabriel Boschilia
2,Season 15/16,2,Gabriel Boschilia
3,Season 16/17,8,Gabriel Boschilia
4,Season 18/19,4,Gabriel Boschilia
0,Season 2015,4,Gabriel Jesus
1,Season 2016,17,Gabriel Jesus
2,Season 16/17,7,Gabriel Jesus
3,Season 17/18,17,Gabriel Jesus
4,Season 18/19,5,Gabriel Jesus
0,Season 2016,1,Gabriel Magalhães
1,Season 17/18,2,Gabriel Magalhães
0,Season 09/10,1,Gabriel Mercado
1,Season 10/11,6,Gabriel Mercado
2,Season 11/12,3,Gabriel Mercado
3,Season 13/14,5,Gabriel Mercado
4,Season 14/15,1,Gabriel Mercado
5,Season 2014,1,Gabriel Mercado
6,Season 2015,3,Gabriel Mercado
7,Season 16/17,3,Gabriel Mercado
8,Season 18/19,2,Gabriel Mercado
0,Season 2013,1,Gabriel Paulista
1,Season 15/16,1,Gabriel Paulista
0,Season 2010,2,Gabriel Silva
1,Season 12/13,1,Gabriel Silva
2,Season 13/14,2,Gabriel Silva
3,Season 17/18,1,Gabriel Silva
0,Season 13/14,9,Gabriele Moncini
1,Season 14/15,16,Gabriele Moncini
2,Season 15/16,4,Gabriele Moncini
3,Season 16/17,13,Gabriele Moncini
4,Season 17/18,8,Gabriele Moncini
0,Season 12/13,1,Gabriele Rolando
1,Season 13/14,2,Gabriele Rolando
2,Season 14/15,2,Gabriele Rolando
3,Season 15/16,3,Gabriele Rolando
4,Season 16/17,1,Gabriele Rolando
5,Season 17/18,1,Gabriele Rolando
0,Season 2011,1,Gaku Shibasaki
1,Season 2012,4,Gaku Shibasaki
2,Season 2013,2,Gaku Shibasaki
3,Season 2014,6,Gaku Shibasaki
4,Season 2015,7,Gaku Shibasaki
5,Season 2016,4,Gaku Shibasaki
6,Season 16/17,5,Gaku Shibasaki
7,Season 17/18,1,Gaku Shibasaki
0,Season 2009,8,Ganso
1,Season 2011,3,Ganso
2,Season 2012,4,Ganso
3,Season 2013,3,Ganso
4,Season 2014,8,Ganso
5,Season 2015,2,Ganso
6,Season 2016,3,Ganso
7,Season 16/17,3,Ganso
8,Season 17/18,4,Ganso
0,Season 06/07,5,Gareth Bale
1,Season 07/08,3,Gareth Bale
2,Season 09/10,3,Gareth Bale
3,Season 10/11,11,Gareth Bale
4,Season 11/12,13,Gareth Bale
5,Season 12/13,26,Gareth Bale
6,Season 13/14,22,Gareth Bale
7,Season 14/15,17,Gareth Bale
8,Season 15/16,19,Gareth Bale
9,Season 16/17,9,Gareth Bale
10,Season 17/18,21,Gareth Bale
11,Season 18/19,7,Gareth Bale
0,Season 04/05,1,Gary Cahill
1,Season 05/06,1,Gary Cahill
2,Season 07/08,2,Gary Cahill
3,Season 08/09,3,Gary Cahill
4,Season 09/10,7,Gary Cahill
5,Season 10/11,3,Gary Cahill
6,Season 11/12,5,Gary Cahill
7,Season 12/13,6,Gary Cahill
8,Season 13/14,2,Gary Cahill
9,Season 14/15,3,Gary Cahill
10,Season 15/16,4,Gary Cahill
11,Season 16/17,8,Gary Cahill
0,Season 08/09,2,Gary Madine
1,Season 09/10,6,Gary Madine
2,Season 10/11,19,Gary Madine
3,Season 11/12,18,Gary Madine
4,Season 12/13,4,Gary Madine
5,Season 13/14,2,Gary Madine
6,Season 14/15,10,Gary Madine
7,Season 15/16,6,Gary Madine
8,Season 16/17,10,Gary Madine
9,Season 17/18,10,Gary Madine
0,Season 12/13,1,Gaspar Íñiguez
1,Season 13/14,1,Gaspar Íñiguez
0,Season 2010,6,Gastón Ramírez
1,Season 10/11,7,Gastón Ramírez
2,Season 11/12,8,Gastón Ramírez
3,Season 12/13,5,Gastón Ramírez
4,Season 13/14,3,Gastón Ramírez
5,Season 14/15,1,Gastón Ramírez
6,Season 15/16,7,Gastón Ramírez
7,Season 16/17,2,Gastón Ramírez
8,Season 17/18,5,Gastón Ramírez
9,Season 18/19,1,Gastón Ramírez
0,Season 09/10,3,Gaël Kakuta
1,Season 10/11,1,Gaël Kakuta
2,Season 11/12,7,Gaël Kakuta
3,Season 12/13,3,Gaël Kakuta
4,Season 13/14,6,Gaël Kakuta
5,Season 14/15,5,Gaël Kakuta
6,Season 15/16,4,Gaël Kakuta
7,Season 16/17,2,Gaël Kakuta
8,Season 17/18,6,Gaël Kakuta
9,Season 18/19,1,Gaël Kakuta
0,Season 09/10,2,Gaëtan Bong
1,Season 10/11,2,Gaëtan Bong
2,Season 13/14,1,Gaëtan Bong
0,Season 12/13,2,Gaëtan Bussmann
1,Season 13/14,4,Gaëtan Bussmann
2,Season 14/15,2,Gaëtan Bussmann
3,Season 15/16,4,Gaëtan Bussmann
0,Season 14/15,4,Gaëtan Laborde
1,Season 15/16,10,Gaëtan Laborde
2,Season 16/17,13,Gaëtan Laborde
3,Season 17/18,3,Gaëtan Laborde
4,Season 18/19,10,Gaëtan Laborde
0,Season 06/07,4,Gelson Fernandes
1,Season 07/08,2,Gelson Fernandes
2,Season 08/09,2,Gelson Fernandes
3,Season 10/11,2,Gelson Fernandes
4,Season 11/12,3,Gelson Fernandes
5,Season 13/14,1,Gelson Fernandes
6,Season 15/16,1,Gelson Fernandes
7,Season 18/19,1,Gelson Fernandes
0,Season 14/15,6,Gelson Martins
1,Season 15/16,7,Gelson Martins
2,Season 16/17,7,Gelson Martins
3,Season 17/18,13,Gelson Martins
4,Season 18/19,1,Gelson Martins
0,Season 2009,2,Genki Haraguchi
1,Season 2010,2,Genki Haraguchi
2,Season 2011,11,Genki Haraguchi
3,Season 2012,6,Genki Haraguchi
4,Season 2013,13,Genki Haraguchi
5,Season 2014,4,Genki Haraguchi
6,Season 14/15,2,Genki Haraguchi
7,Season 15/16,3,Genki Haraguchi
8,Season 16/17,1,Genki Haraguchi
9,Season 17/18,1,Genki Haraguchi
0,Season 11/12,1,Geoffrey Kondogbia
1,Season 12/13,1,Geoffrey Kondogbia
2,Season 13/14,1,Geoffrey Kondogbia
3,Season 14/15,2,Geoffrey Kondogbia
4,Season 15/16,1,Geoffrey Kondogbia
5,Season 16/17,1,Geoffrey Kondogbia
6,Season 17/18,4,Geoffrey Kondogbia
0,Season 05/06,1,Georg Margreitter
1,Season 06/07,10,Georg Margreitter
2,Season 08/09,4,Georg Margreitter
3,Season 09/10,2,Georg Margreitter
4,Season 10/11,1,Georg Margreitter
5,Season 11/12,2,Georg Margreitter
6,Season 14/15,1,Georg Margreitter
7,Season 16/17,1,Georg Margreitter
8,Season 17/18,5,Georg Margreitter
9,Season 18/19,1,Georg Margreitter
0,Season 07/08,6,Georg Teigl
1,Season 08/09,4,Georg Teigl
2,Season 09/10,2,Georg Teigl
3,Season 10/11,4,Georg Teigl
4,Season 11/12,3,Georg Teigl
5,Season 12/13,6,Georg Teigl
6,Season 14/15,3,Georg Teigl
7,Season 15/16,2,Georg Teigl
0,Season 13/14,1,Georges-Kevin N'Koudou
1,Season 14/15,2,Georges-Kevin N'Koudou
2,Season 15/16,10,Georges-Kevin N'Koudou
3,Season 17/18,1,Georges-Kevin N'Koudou
0,Season 07/08,1,Georginio Wijnaldum
1,Season 08/09,5,Georginio Wijnaldum
2,Season 09/10,5,Georginio Wijnaldum
3,Season 10/11,14,Georginio Wijnaldum
4,Season 11/12,14,Georginio Wijnaldum
5,Season 12/13,20,Georginio Wijnaldum
6,Season 13/14,7,Georginio Wijnaldum
7,Season 14/15,18,Georginio Wijnaldum
8,Season 15/16,11,Georginio Wijnaldum
9,Season 16/17,6,Georginio Wijnaldum
10,Season 17/18,2,Georginio Wijnaldum
11,Season 18/19,1,Georginio Wijnaldum
0,Season 15/16,1,Georgios Siadas
1,Season 16/17,2,Georgios Siadas
2,Season 17/18,1,Georgios Siadas
0,Season 11/12,9,Gerard Deulofeu
1,Season 12/13,18,Gerard Deulofeu
2,Season 13/14,4,Gerard Deulofeu
3,Season 14/15,3,Gerard Deulofeu
4,Season 15/16,4,Gerard Deulofeu
5,Season 16/17,4,Gerard Deulofeu
6,Season 17/18,4,Gerard Deulofeu
7,Season 18/19,1,Gerard Deulofeu
0,Season 14/15,3,Gerard Gumbau
1,Season 15/16,3,Gerard Gumbau
2,Season 16/17,9,Gerard Gumbau
3,Season 17/18,1,Gerard Gumbau
4,Season 18/19,1,Gerard Gumbau
0,Season 11/12,1,Gerard Moreno
1,Season 12/13,3,Gerard Moreno
2,Season 13/14,12,Gerard Moreno
3,Season 14/15,16,Gerard Moreno
4,Season 15/16,7,Gerard Moreno
5,Season 16/17,13,Gerard Moreno
6,Season 17/18,19,Gerard Moreno
7,Season 18/19,6,Gerard Moreno
0,Season 06/07,3,Gerard Piqué
1,Season 07/08,2,Gerard Piqué
2,Season 08/09,2,Gerard Piqué
3,Season 09/10,4,Gerard Piqué
4,Season 10/11,4,Gerard Piqué
5,Season 11/12,2,Gerard Piqué
6,Season 12/13,3,Gerard Piqué
7,Season 13/14,4,Gerard Piqué
8,Season 14/15,7,Gerard Piqué
9,Season 15/16,5,Gerard Piqué
10,Season 16/17,3,Gerard Piqué
11,Season 17/18,4,Gerard Piqué
12,Season 18/19,4,Gerard Piqué
0,Season 12/13,1,Germán Pezzella
1,Season 2014,1,Germán Pezzella
2,Season 14/15,1,Germán Pezzella
3,Season 15/16,3,Germán Pezzella
4,Season 16/17,1,Germán Pezzella
5,Season 17/18,1,Germán Pezzella
0,Season 11/12,8,Gerrit Holtmann
1,Season 12/13,1,Gerrit Holtmann
2,Season 13/14,1,Gerrit Holtmann
3,Season 14/15,10,Gerrit Holtmann
4,Season 15/16,8,Gerrit Holtmann
5,Season 17/18,2,Gerrit Holtmann
0,Season 2015,1,Gerson
1,Season 16/17,1,Gerson
2,Season 17/18,2,Gerson
3,Season 18/19,1,Gerson
0,Season 05/06,8,Gervinho
1,Season 06/07,8,Gervinho
2,Season 07/08,6,Gervinho
3,Season 08/09,7,Gervinho
4,Season 09/10,18,Gervinho
5,Season 10/11,18,Gervinho
6,Season 11/12,4,Gervinho
7,Season 12/13,7,Gervinho
8,Season 13/14,12,Gervinho
9,Season 14/15,7,Gervinho
10,Season 15/16,11,Gervinho
11,Season 2017,1,Gervinho
12,Season 18/19,5,Gervinho
0,Season 07/08,1,Giacomo Bonaventura
1,Season 08/09,1,Giacomo Bonaventura
2,Season 09/10,6,Giacomo Bonaventura
3,Season 10/11,9,Giacomo Bonaventura
4,Season 11/12,2,Giacomo Bonaventura
5,Season 12/13,8,Giacomo Bonaventura
6,Season 13/14,5,Giacomo Bonaventura
7,Season 14/15,7,Giacomo Bonaventura
8,Season 15/16,7,Giacomo Bonaventura
9,Season 16/17,5,Giacomo Bonaventura
10,Season 17/18,9,Giacomo Bonaventura
11,Season 18/19,3,Giacomo Bonaventura
0,Season 13/14,2,Gian Marco Ferrari
1,Season 15/16,1,Gian Marco Ferrari
2,Season 16/17,3,Gian Marco Ferrari
3,Season 17/18,2,Gian Marco Ferrari
4,Season 18/19,3,Gian Marco Ferrari
0,Season 15/16,1,Gian-Luca Itter
1,Season 16/17,3,Gian-Luca Itter
2,Season 17/18,1,Gian-Luca Itter
0,Season 09/10,3,Giancarlo González
1,Season 11/12,3,Giancarlo González
2,Season 2013,2,Giancarlo González
3,Season 2014,1,Giancarlo González
4,Season 14/15,1,Giancarlo González
5,Season 15/16,2,Giancarlo González
6,Season 16/17,1,Giancarlo González
0,Season 16/17,1,Giangiacomo Magnani
1,Season 17/18,1,Giangiacomo Magnani
0,Season 10/11,8,Gianluca Caprari
1,Season 11/12,11,Gianluca Caprari
2,Season 12/13,2,Gianluca Caprari
3,Season 13/14,3,Gianluca Caprari
4,Season 14/15,2,Gianluca Caprari
5,Season 15/16,13,Gianluca Caprari
6,Season 16/17,9,Gianluca Caprari
7,Season 17/18,7,Gianluca Caprari
8,Season 18/19,2,Gianluca Caprari
0,Season 09/10,11,Gianluca Lapadula
1,Season 10/11,1,Gianluca Lapadula
2,Season 12/13,1,Gianluca Lapadula
3,Season 13/14,13,Gianluca Lapadula
4,Season 14/15,24,Gianluca Lapadula
5,Season 15/16,30,Gianluca Lapadula
6,Season 16/17,8,Gianluca Lapadula
7,Season 17/18,6,Gianluca Lapadula
8,Season 18/19,1,Gianluca Lapadula
0,Season 13/14,3,Gianluca Mancini
1,Season 16/17,1,Gianluca Mancini
2,Season 17/18,1,Gianluca Mancini
3,Season 18/19,4,Gianluca Mancini
0,Season 12/13,2,Giannelli Imbula
1,Season 13/14,1,Giannelli Imbula
2,Season 14/15,2,Giannelli Imbula
3,Season 15/16,2,Giannelli Imbula
4,Season 17/18,1,Giannelli Imbula
5,Season 18/19,1,Giannelli Imbula
0,Season 03/04,3,Gianni Munari
1,Season 04/05,6,Gianni Munari
2,Season 05/06,4,Gianni Munari
3,Season 06/07,3,Gianni Munari
4,Season 07/08,2,Gianni Munari
5,Season 08/09,4,Gianni Munari
6,Season 09/10,6,Gianni Munari
7,Season 10/11,2,Gianni Munari
8,Season 11/12,1,Gianni Munari
9,Season 12/13,3,Gianni Munari
10,Season 13/14,1,Gianni Munari
11,Season 14/15,3,Gianni Munari
12,Season 15/16,2,Gianni Munari
13,Season 16/17,3,Gianni Munari
14,Season 17/18,1,Gianni Munari
0,Season 03/04,4,Giorgio Chiellini
1,Season 04/05,3,Giorgio Chiellini
2,Season 06/07,4,Giorgio Chiellini
3,Season 07/08,3,Giorgio Chiellini
4,Season 08/09,5,Giorgio Chiellini
5,Season 09/10,5,Giorgio Chiellini
6,Season 10/11,4,Giorgio Chiellini
7,Season 11/12,2,Giorgio Chiellini
8,Season 12/13,1,Giorgio Chiellini
9,Season 13/14,4,Giorgio Chiellini
10,Season 14/15,1,Giorgio Chiellini
11,Season 15/16,1,Giorgio Chiellini
12,Season 16/17,4,Giorgio Chiellini
13,Season 18/19,1,Giorgio Chiellini
0,Season 15/16,2,Giovani Lo Celso
1,Season 16/17,1,Giovani Lo Celso
2,Season 17/18,6,Giovani Lo Celso
3,Season 18/19,7,Giovani Lo Celso
0,Season 10/11,1,Giovanni Di Lorenzo
1,Season 15/16,2,Giovanni Di Lorenzo
2,Season 16/17,2,Giovanni Di Lorenzo
3,Season 17/18,1,Giovanni Di Lorenzo
0,Season 15/16,3,Giovanni Pinto
1,Season 16/17,2,Giovanni Pinto
2,Season 17/18,1,Giovanni Pinto
0,Season 13/14,4,Giovanni Simeone
1,Season 14/15,7,Giovanni Simeone
2,Season 15/16,5,Giovanni Simeone
3,Season 16/17,13,Giovanni Simeone
4,Season 17/18,16,Giovanni Simeone
5,Season 18/19,3,Giovanni Simeone
0,Season 09/10,1,Giulio Donati
1,Season 14/15,1,Giulio Donati
0,Season 14/15,2,Giuseppe Carriero
1,Season 15/16,2,Giuseppe Carriero
2,Season 16/17,2,Giuseppe Carriero
3,Season 17/18,2,Giuseppe Carriero
0,Season 14/15,2,Giuseppe Pezzella
1,Season 15/16,2,Giuseppe Pezzella
0,Season 05/06,3,Glenn Murray
1,Season 06/07,20,Glenn Murray
2,Season 07/08,20,Glenn Murray
3,Season 08/09,12,Glenn Murray
4,Season 09/10,14,Glenn Murray
5,Season 10/11,22,Glenn Murray
6,Season 11/12,7,Glenn Murray
7,Season 12/13,31,Glenn Murray
8,Season 13/14,1,Glenn Murray
9,Season 14/15,16,Glenn Murray
10,Season 15/16,6,Glenn Murray
