nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Isco,Isco,26,Centrocampista,Trequartista,Real Madrid CF,Spagna,Spagna,16507480.0,3047493.0,5216127.0,604351.9,29000000,24300000,861079,789188,404,662,896,524,5200,830,615,1220,775,3742,84800,4750,825,776,18300,7210,9770,13000,4770,18,4,1,4,1,0,49,9,10,11,0,2,349,65,64,65,8,11,6.78,90000000,0.7537279581239195,0.6565443386623029,0.7429045699602614,0.7177256222488279,0.6555013573276898,0.6925158885495475,0.721546146779926,0.7896907869445634,0.6742014559079433,0.8534780241579766,0.7311556099446078,0.49770939158396943,0.550685784839046,0.6898641548033768
Gareth Bale,Gareth Bale,29,Attaccante,Ala destra,Real Madrid CF,Spagna,Galles,37898328.0,28568021.0,17583251.0,513341.5,21700000,31500000,2500865,598109,614,1200,615,361,328,706,2151,2170,2510,2216,7630,2850,25500,47300,1400,2440,7770,3200,3690,22,10,5,5,3,2,39,21,7,7,3,2,458,159,133,59,20,18,7.12,90000000,0.7686263253749872,0.8646176839959713,0.8598227074192255,0.8310222389300614,0.6812318989509326,0.8889471211423897,0.6049955059663973,0.6527033488673833,0.7830746836499133,0.785467684583803,0.7327367071934697,0.5256049370391339,0.7092526676763902,0.738576778606048
Gabriel Jesus,Gabriel Jesus,21,Attaccante,Punta centrale,Manchester City,Inghilterra,Brasile,11237646.0,1174218.0,769620.0,132277.3,133000000,260000000,973297,107811,241,243,189,341,230,548,1360,1180,781,216,2850,776,322,349,297,542,1590,1440,1260,23,7,2,4,3,0,42,17,5,9,4,1,124,52,18,13,7,1,6.77,80000000,0.6120483287125548,0.5678732738610212,0.5587886424480645,0.5795700816738801,0.545647258884391,0.49387777691320567,0.5822992565917668,0.4825041120405178,0.7037282908721325,0.6582375153621075,0.5777157017773535,0.7524890322903546,0.5689045230912514,0.5933089100970333
Ousmane Dembélé,Dembélé,21,Attaccante,Ala sinistra,FC Barcellona,Spagna,Francia,7255740.0,,724062.0,499368.5,6980000,8800000,1613331,378787,394,1320,1170,325,233,652,663,1110,523,5310,60700,3150,18400,41200,19700,2380,2040,7460,2990,22,10,5,4,2,1,24,4,9,3,1,0,124,36,40,17,5,7,7.54,80000000,0.6926668460926177,0.6500519648529522,0.5529176929629345,0.6318788346361681,0.6868723866588912,0.9579429733740548,0.5862066095707212,0.7766791071585176,0.6600148549028244,0.7591956260928182,0.737818592959638,0.3885264621099755,0.6440630672084675,0.6686488719077068
N'Golo Kanté,Kanté,27,Centrocampista,Mediano,Chelsea FC,Inghilterra,Francia,5661090.0,951136.0,744532.0,562190.2,3910000,190000000,1684661,163414,163,1840,635,120,1180,252,1563,71000,1350,209,5570,565,24900,50700,2340,6850,2120,2650,2290,22,2,2,0,0,0,48,1,2,6,0,0,235,12,18,6,0,0,6.96,80000000,0.6629748741847034,0.5482835529316495,0.5556000175811469,0.5889528148991666,0.6383380289950839,0.9074242762018168,0.5703738062880903,0.4999007389329663,0.8671900289820208,0.7134614534290805,0.6994480554715098,0.718773150884769,0.6504972270282423,0.6666197414035971
Raphaël Varane,Varane,25,Difensore,Difensore centrale,Real Madrid CF,Spagna,Francia,11548441.0,6867767.0,5240536.0,175770.6,6800000,41700000,962325,326355,306,353,244,381,261,418,343,399,474,4489,12700,3640,1300,2390,2170,4110,3440,610,4590,19,0,0,3,0,0,44,0,2,11,0,1,276,12,6,65,2,2,6.75,80000000,0.6594442708076848,0.73208771052797,0.7433537544786195,0.711628578604758,0.5775374525242751,0.6820944191235143,0.5828093277862769,0.7086799260004524,0.5966423080587202,0.7057206704318393,0.6422473506541797,0.5557580847289375,0.5672184694533149,0.646486035811055
Roberto Firmino,Firmino,27,Attaccante,Seconda punta,FC Liverpool,Inghilterra,Brasile,7919426.0,894260.0,,384419.9,10700000,41300000,1437252,281565,698,853,487,243,260,355,1442,15800,970,248,1690,581,322,530,287,136,2400,1430,1510,25,6,4,6,2,0,54,27,17,13,10,8,360,113,79,19,12,8,7.09,80000000,0.6753350636148386,0.5425507173733731,0.5850184431065538,0.6009680746982552,0.6673583599423184,0.5085209783330716,0.5585514335380686,0.4570770034762724,0.8015311364779821,0.6798480897052953,0.6121478335788347,0.5547220029970227,0.6268757063458155,0.6052171759009648
Jan Oblak,Oblak,25,Portiere,Portiere,Atlético de Madrid,Spagna,Slovenia,832426.0,,,81310.7,2870000,11000000,487695,37038,190,142,146,192,118,162,213,348,299,1216,21700,3340,247,394,256,2610,1830,808,1320,24,0,0,6,0,0,49,0,0,6,0,0,297,0,0,40,0,0,6.67,80000000,0.4623425758653586,0.4064595613826976,0.44108533464153865,0.43662915729653157,0.5081631111103336,0.4839456201159444,0.49648516170935436,0.6784459960423094,0.5575264057679167,0.644582484375638,0.5615247965202494,0.41251275321035397,0.4661386418434582,0.5052443314604458
James Rodríguez,James Rodriguez,27,Centrocampista,Trequartista,FC Bayern Monaco,Germania,Colombia,40632665.0,32708320.0,17885066.0,1406475.0,51500000,317000000,1981170,795322,254,957,4140,444,515,848,790,1370,1560,1562,19400,2410,448,1110,1630,2880,3760,3470,2660,11,3,2,3,0,1,39,8,14,12,1,2,357,99,119,49,5,11,6.9,80000000,0.8240678195812964,0.8772009548572395,0.8614601943273936,0.8542429895886432,0.6998015048839936,0.6050033090583787,0.6351372086699155,0.6735156679319294,0.7123761183556688,0.7494920377049338,0.6792209744341365,0.7737962402317827,0.6746083100252,0.7351326696025211
Marc-André ter Stegen,Ter Stegen,26,Portiere,Portiere,FC Barcellona,Spagna,Germania,7867719.0,2927218.0,1325713.0,321338.9,1280000,9270000,585052,325297,1060,2550,1190,251,163,285,281,383,334,1230,6750,4620,324,557,401,603,2470,1030,1510,23,0,0,5,0,0,48,0,0,9,0,0,363,0,1,46,0,0,6.61,80000000,0.671667401908273,0.6528005650162014,0.6111105256037311,0.6451928308427353,0.7533629640379681,0.5215127166767908,0.5368095918550567,0.6394708138749033,0.5752834004685612,0.6692288365535798,0.61594472057781,0.3941194827915865,0.4932073783471463,0.5925976070121636
