nome,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Henrikh Mkhitaryan,0.55,0.663,0.62,0.611,0.602,0.668,0.552,0.451,0.776,0.686,0.623,0.354,0.604,0.593
Nicolás Otamendi,0.467,0.534,0.528,0.51,0.454,0.465,0.491,0.544,0.641,0.593,0.531,0.278,0.405,0.491
Andrej Kramaric,0.328,0.117,0.292,0.246,0.561,0.372,0.398,0.319,0.474,0.442,0.428,0.164,0.418,0.353
Leonardo Bonucci,0.566,0.606,0.626,0.6,0.531,0.544,0.892,0.533,0.593,0.673,0.627,0.427,0.507,0.591
Manuel Akanji,0.211,0.166,0.135,0.171,0.441,0.281,0.235,0.207,0.329,0.325,0.303,0.204,0.377,0.265
Iñigo Martínez,0.093,0.151,0.427,0.224,0.172,0.237,0.194,0.365,0.39,0.443,0.3,0.387,0.255,0.283
Lucas Moura,0.525,0.667,0.687,0.626,0.391,0.505,0.427,0.461,0.615,0.558,0.493,0.508,0.555,0.536
Jan Vertonghen,0.398,0.356,0.572,0.442,0.428,0.48,0.47,0.401,0.661,0.635,0.513,0.246,0.431,0.462
Maximiliano Gómez,0.153,0.144,0.219,0.172,0.223,0.372,0.507,0.516,0.343,0.445,0.401,0.503,0.295,0.338
Carlos Soler,0.183,0.142,0.254,0.193,0.2,0.314,0.191,0.507,0.417,0.431,0.343,0.477,0.16,0.298
Giovani Lo Celso,0.412,0.39,0.38,0.394,0.369,0.641,0.397,0.521,0.409,0.564,0.483,0.553,0.444,0.462
Dayot Upamecano,0.088,0.062,0.18,0.11,0.512,0.554,0.246,0.246,0.278,0.197,0.339,0.014,0.207,0.235
Yerry Mina,0.54,0.354,0.475,0.456,0.346,0.317,0.306,0.575,0.557,0.547,0.441,0.27,0.632,0.447
Eric Bailly,0.46,0.539,0.571,0.523,0.277,0.37,0.194,0.375,0.664,0.554,0.406,0.357,0.411,0.434
Presnel Kimpembe,0.508,0.353,0.404,0.422,0.35,0.619,0.343,0.317,0.468,0.512,0.435,0.216,0.444,0.412
Álvaro Odriozola,0.382,0.092,0.372,0.282,0.323,0.325,0.342,0.641,0.368,0.512,0.419,0.262,0.426,0.368
Ángel Correa,0.312,0.359,0.411,0.361,0.333,0.357,0.332,0.454,0.542,0.544,0.427,0.583,0.338,0.415
