nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore
Marco Reus,Marco Reus,29,Centrocampista,Trequartista,Borussia Dortmund,Germania,Germania,7221383,13146494,3058718,358456.4,17700000,22800000,796262,697510,2118,3230,1190,62,426,605,211,1950,465,386,3170,811,420,366,355,595,1030,462,892,24,14,9,5,1,1,15,7,1,0,0,0,427,181,101,35,17,12,7.46,40000000
Jérôme Boateng,jerome boateng,30,Difensore,Difensore centrale,FC Bayern Monaco,Germania,Germania,5996555,3834146,2453222,68551.8,1590000,8800000,788775,22726,1980,3070,1590,61,75,188,247,259,286,224,699,519,413,472,290,526,1070,530,880,17,0,1,5,0,0,31,2,4,9,0,1,465,14,30,69,3,6,6.83,40000000
Sergio Ramos,Sergio Ramos,32,Difensore,Difensore centrale,Real Madrid CF,Spagna,Spagna,28894279,23588468,15571740,543857.4,92700000,76400000,2161525,1125336,803,834,452,595,1730,3400,1104,1810,1420,6044,25400,13100,580,1100,1020,5510,7300,4710,3620,24,6,1,4,0,0,42,5,1,11,1,0,633,82,38,118,11,8,7.07,40000000
Karim Benzema,Benzema,30,Attaccante,Punta centrale,Real Madrid CF,Spagna,Francia,25508947,22821698,8959498,308339.8,18800000,29400000,1582305,1069852,862,1260,765,790,2140,1810,826,1180,1010,6729,32800,6420,26500,54600,4340,20700,6100,7090,9000,26,11,6,6,3,2,47,12,11,9,5,0,586,269,145,110,59,25,7.13,40000000
Paulinho,Paulinho,30,Centrocampista,Centrale,Guangzhou Evergrande Taobao,Cina,Brasile,3587086,1793059,16875,60189,18500000,13500000,971653,189100,390,212,3380,198,339,882,289,472,595,574,6630,1930,558,491,282,381,1500,410,902,0,0,0,0,0,0,68,22,10,9,0,0,425,96,42,9,0,0,5.93,38000000
Tanguy Ndombélé,Ndombele,21,Centrocampista,Centrale,Olympique Lione,Francia,Francia,95788,,,20863.2,98000,1830000,164368,2052,16,6,5,15,14,10,23,69,60,11,177,45,3080,2940,905,4030,91,640,724,23,2,5,6,2,0,50,1,8,0,0,0,104,5,20,6,2,0,6.82,35000000
Houssem Aouar,Houssem Aouar,20,Centrocampista,Centrale,Olympique Lione,Francia,Francia,181574,20738,43275,24540.2,754000,587000,115018,2107,11,6,4,2,3,2,33,46,36,7,265,98,207,222,233,314,64,44,295,24,6,4,6,0,3,44,7,6,0,0,0,84,17,11,6,0,3,7.24,35000000
Ryan Sessegnon,Sessegnon,18,Centrocampista,Centrocampista di sinistra,FC Fulham,Inghilterra,Inghilterra,171375,,35824,17616.5,932000,1080000,748743,2046,39,8,2,10,20,8,383,572,426,59,155,75,270,190,211,125,512,155,228,18,1,3,0,0,0,52,16,8,0,0,0,101,24,16,0,0,0,6.55,35000000
Vinícius Júnior,vinicius junior,18,Attaccante,Ala sinistra,Real Madrid CF,Spagna,Brasile,4315534,485877,751837,596744.2,14200000,36900000,927560,11299,46,81,54,16,28,26,79,79,60,118,11900,204,28,134,872,276,271,200,372,15,5,7,2,0,1,17,6,3,0,0,0,64,15,11,2,0,1,5.93,35000000
Mikel Oyarzabal,Oyarzabal,21,Attaccante,Ala sinistra,Real Sociedad,Spagna,Spagna,35343,,12752,6284.8,423000,1110000,62664,2130,18,5,5,35,26,9,10,79,18,281,3100,2060,7,114,7,1,375,8,140,18,6,2,0,0,0,43,14,8,0,0,0,141,33,22,0,0,0,6.82,35000000
Trent Alexander-Arnold,Trent Alexander Arnold,20,Difensore,Terzino destro,FC Liverpool,Inghilterra,Inghilterra,1178572,,368276,144142.4,11600000,11100000,848749,10755,91,35,43,9,7,3,422,380,373,8,322,94,37,44,75,1,457,296,240,18,1,2,5,0,0,34,3,3,10,1,1,82,8,10,15,1,1,7.12,35000000
Franck Kessié,Kessié,21,Centrocampista,Centrale,AC Milan,Italia,Costa d'Avorio,447876,,,46975.9,609000,573000,145663,17280,35,3,4,629,510,868,93,185,44,34,111,101,77,190,81,9,456,268,94,19,3,2,0,0,0,54,5,6,0,0,0,148,19,14,0,0,0,6.91,35000000
Wilfred Ndidi,Ndidi,21,Centrocampista,Mediano,Leicester City,Inghilterra,Nigeria,328254,,72250,25495.8,1260000,1560000,191098,2590,36,34,82,30,63,57,193,2880,277,17,276,84,180,77,58,1,484,254,233,20,1,1,0,0,0,38,1,4,0,0,0,164,12,9,4,0,0,7.21,35000000
Andrew Robertson,Andrew Robertson,24,Difensore,Terzino sinistro,FC Liverpool,Inghilterra,Scozia,907361,,355868,112468,61700000,76700000,808844,3557,80,69,68,26,106,37,242,735,2100,6,176,29,86,30,76,7,776,839,184,22,0,5,6,0,2,30,1,5,6,0,0,254,13,29,12,0,2,7.15,35000000
Thomas Partey,Thomas Partey,25,Centrocampista,Mediano,Atlético de Madrid,Spagna,Ghana,245984,47456,59140,19520.4,2470000000,3320000,175989,1132,4,5,9,4,56,19,22,58,36,86,458,529,40,44,79,32,537,122,332,21,2,4,5,0,1,50,5,0,6,1,0,216,23,11,22,1,1,6.92,35000000
José Gayà,Gaya,23,Difensore,Terzino sinistro,Valencia CF,Spagna,Spagna,204500,,85067,13370.2,22900000,267000000,65164,706,41,22,2,7,8,5,36,95,835,887,1040,276,26,110,53,7,156,71,103,21,1,0,5,0,0,38,0,5,0,0,0,211,8,17,10,0,2,6.92,35000000
Tiemoué Bakayoko,Bakayoko,24,Centrocampista,Mediano,AC Milan,Italia,Francia,974118,67561,,70384.2,162000,5900000,416313,33353,102,95,78,233,277,1240,741,428,379,94,945,294,4400,4780,628,783,1120,307,1210,18,0,0,0,0,0,43,3,3,5,1,1,181,9,4,18,2,1,6.75,35000000
Andrea Belotti,Belotti,24,Attaccante,Punta centrale,Torino FC,Italia,Italia,830017,145898,34609,42180.4,4130000,10600000,242239,26018,90,77,54,1796,1180,24000,197,1070,163,70,675,167,108,143,206,336,1560,98,671,18,8,1,0,0,0,35,13,7,0,0,0,266,106,28,0,0,0,7.02,35000000
Felipe Anderson,Felipe Anderson,25,Attaccante,Ala sinistra,West Ham United,Inghilterra,Brasile,397592,68996,158358,23575.8,62200000,69000000,388881,9753,144,89,49,1227,449,1140,162,709,1220,55,2120,526,59,112,75,53,914,433,422,20,6,3,0,0,0,32,8,10,0,0,0,265,47,58,0,0,0,7.3,35000000
Jordan Pickford,Pickford,24,Portiere,Portiere,FC Everton,Inghilterra,Inghilterra,564582,3322,186878,92960.9,9770000,7510000,2211360,16860,77,65,70,47,1010,83,1091,1540,774,65,780,188,168,184,121,19,1450,948,788,18,0,0,0,0,0,46,0,0,0,0,0,245,0,1,0,0,0,6.54,35000000
Luis Alberto,Luis Alberto,26,Centrocampista,Trequartista,SS Lazio,Italia,Spagna,205843,,,11150.3,242000000,270000000,154180,18882,300,149,47,623,482,831,70,173,576,737,8770,7030,74,435,298,308,1800,2170,223,16,2,3,0,0,0,47,12,21,0,0,0,185,38,56,0,0,0,6.73,35000000
Kieran Trippier,Trippier,28,Difensore,Terzino destro,Tottenham Hotspur,Inghilterra,Inghilterra,431366,,257449,58606.2,2410000,1780000,1672798,13281,84,46,47,40,60,88,739,2130,664,37,1620,233,92,171,220,2,1080,1110,527,18,1,4,3,0,1,35,0,9,3,0,3,334,10,66,9,0,4,7.19,35000000
Pablo Sarabia,Sarabia,26,Centrocampista,Trequartista,FC Siviglia,Spagna,Spagna,135812,,92961,9065.3,7230000,11700000,82917,6938,66,30,10,65,33,92,24,89,60,1059,5800,1470,60,92,60,1,1220,787,387,27,15,8,0,0,0,53,9,10,10,1,2,272,50,50,18,2,3,7.22,35000000
Nacho Fernández,nacho fernandez,28,Difensore,Difensore centrale,Real Madrid CF,Spagna,Spagna,5231217,1945754,2368312,95635.4,15000000,20400000,407101,33690,39,36,44,20,8,8,25,36,51,322,2470,1600,28,58,70,31,984,677,257,13,0,0,3,0,0,42,4,0,8,1,0,193,9,6,30,2,1,6.68,35000000
Henrikh Mkhitaryan,Mkhitaryan,29,Centrocampista,Trequartista,FC Arsenal,Inghilterra,Armenia,2973508,3264181,1446732,71551.3,2980000,6370000,1230126,171266,765,1030,279,210,302,294,1811,8020,709,212,1190,413,4000,3190,289,209,1830,1830,1830,20,4,3,0,0,0,39,5,12,4,1,1,402,132,103,42,5,1,6.77,35000000
Nicolás Otamendi,Otamendi,30,Difensore,Difensore centrale,Manchester City,Inghilterra,Argentina,1984555,815011,560054,37911.2,3240000,3150000,322645,44918,192,116,120,131,118,228,564,713,553,740,2280,925,241,297,204,105,1440,473,715,14,0,1,3,0,0,46,5,0,8,1,0,381,24,12,46,1,0,7.16,35000000
Andrej Kramaric,Kramaric,27,Attaccante,Punta centrale,TSG 1899 Hoffenheim,Germania,Croazia,382419,9238,,27831.2,948000,1090000,352848,5408,450,585,253,67,58,64,64,197,180,44,454,113,73,176,83,1,476,95,175,20,11,3,6,5,1,42,13,9,0,0,0,295,137,45,6,5,1,6.89,35000000
Leonardo Bonucci,Bonucci,31,Difensore,Difensore centrale,Juventus FC,Italia,Italia,3320455,1773989,1554631,111790.2,6320000,12600000,640563,133634,342,302,260,2731,9080,10900,473,291,406,368,3210,869,405,606,558,765,3860,562,1890,21,1,3,6,0,3,51,2,1,0,0,0,495,30,13,54,2,4,6.89,35000000
Manuel Akanji,Akanji,23,Difensore,Difensore centrale,Borussia Dortmund,Germania,Svizzera,116055,15644,9361,16635,1140000,1580000,267328,1053,129,115,132,13,21,10,31,34,35,15,169,36,235,14,25,1,78,80,54,18,1,0,4,0,0,39,2,2,6,0,1,169,9,5,10,0,1,6.89,33000000
Iñigo Martínez,inigo martinez,27,Difensore,Difensore centrale,Athletic Bilbao,Spagna,Spagna,48370,13210,194916,5937.9,7850000,8680000,117789,279,54,3,3,18,10,4,46,59,75,989,2970,2440,6,57,79,39,637,86,152,16,0,1,0,0,0,32,1,1,0,0,0,302,18,7,5,0,0,6.6,32000000
Lucas Moura,Lucas Moura,26,Attaccante,Ala destra,Tottenham Hotspur,Inghilterra,Brasile,3886302,3417868,2923428,101846,28600000,26800000,888419,32380,107,68,59,78,76,96,370,930,324,263,969,607,284,464,343,1430,618,402,741,25,7,0,6,2,0,17,2,5,1,0,0,351,76,72,45,5,4,7,32000000
Jan Vertonghen,Vertonghen,31,Difensore,Difensore centrale,Tottenham Hotspur,Inghilterra,Belgio,789215,119989,881261,31119.2,2700000,2330000,386111,19137,168,97,77,93,96,232,636,839,746,128,583,375,394,334,161,8,1530,1490,690,12,1,0,3,0,0,48,1,1,6,0,1,500,42,16,25,0,1,6.86,32000000
Maximiliano Gómez,Maxi Gomez,22,Attaccante,Punta centrale,Celta de Vigo,Spagna,Uruguay,80519,,22431,6231.6,9960000,25500000,154659,989,39,39,2,158,96,363,15,134,30,202,3050,1010,172,118,50,6,387,171,134,16,8,4,0,0,0,39,18,5,0,0,0,107,55,21,0,0,0,7.11,30000000
Carlos Soler,Carlos Soler,21,Centrocampista,Centrocampista di destra,Valencia CF,Spagna,Spagna,112769,11993,32486,12062.7,18300000,20100000,62187,680,49,5,5,15,6,8,18,412,69,492,1420,812,45,62,79,5,379,259,65,23,2,5,6,2,3,37,1,5,0,0,0,133,12,11,6,2,3,6.66,30000000
Giovani Lo Celso,Lo Celso,22,Centrocampista,Centrale,Real Betis Balompié,Spagna,Argentina,718934,,119433,81500.6,2580000,40600000,421496,8408,62,52,73,28,72,158,54,57,111,446,2610,617,336,541,15700,1930,652,305,1040,21,8,2,0,0,0,48,6,7,7,0,2,119,17,22,7,0,2,7.24,30000000
Dayot Upamecano,Upamecano,20,Difensore,Difensore centrale,RasenBallsport Lipsia,Germania,Francia,38793,,,3259.8,181000,271000,85452,718,216,384,203,14,18,15,25,23,15,10,220,142,1240,1710,67,43,10,9,101,19,0,0,0,0,0,41,3,0,5,0,0,114,4,2,5,0,0,6.85,30000000
Yerry Mina,Yerry Mina,24,Difensore,Difensore centrale,FC Everton,Inghilterra,Colombia,3477376,117361,,130064.3,4230000,2920000,1483844,43043,41,50,63,40,51,8,244,228,386,216,10600,1150,31,72,111,368,458,593,509,7,0,0,0,0,0,6,0,1,0,0,0,132,16,4,0,0,0,6.62,30000000
Eric Bailly,Eric Bailly,24,Difensore,Difensore centrale,Manchester United,Inghilterra,Costa d'Avorio,2067545,862021,872832,87028.4,9260000,6590000,335682,10540,68,54,4,27,5,5,1047,1940,211,88,531,268,83,110,116,10,651,575,456,10,0,0,2,0,0,18,1,0,3,0,0,140,2,1,5,0,0,6.33,30000000
Presnel Kimpembe,Kimpembe,23,Difensore,Difensore centrale,FC Paris Saint-Germain,Francia,Francia,2267631,115895,154690,129412.9,1150000,1770000,421477,25529,83,48,32,43,29,43,92,81,236,26,469,181,825,2550,481,1010,212,203,1130,17,0,1,6,0,0,38,0,0,3,0,0,100,0,1,10,0,0,6.83,30000000
Álvaro Odriozola,Odriozola,23,Difensore,Terzino destro,Real Madrid CF,Spagna,Spagna,438608,7008,110636,63531.3,1660000,2710000,371255,8168,47,55,24,26,32,74,29,89,45,341,23000,2170,61,106,43,49,584,288,319,12,1,4,3,0,0,41,1,4,0,0,0,162,6,19,3,0,0,6.61,30000000
Ángel Correa,angel correa,23,Attaccante,Ala destra,Atlético de Madrid,Spagna,Argentina,545814,,165145,22471.5,25800000,53900000,205883,2881,104,10,61,130,6,39,68,1050,229,295,1740,190,66,82,141,1,960,251,525,26,3,3,6,0,1,56,9,9,6,0,1,223,40,44,26,1,2,6.72,30000000
Aleksandr Golovin,Golovin,22,Centrocampista,Trequartista,AS Monaco,Francia,Russia,495617,,,78247.6,1220000,2810000,515455,16576,83,40,10,65,58,65,99,378,138,58,492,657,167,150,203,3130,394,216,747,13,0,2,3,0,1,43,7,6,6,0,1,138,16,17,16,0,2,6.12,30000000
Gelson Martins,Gelson Martins,23,Attaccante,Ala destra,Atlético de Madrid,Spagna,Portogallo,219214,77176,25986,14241.6,3240000,3090000,292179,2257,62,80,24,43,69,39,101,59,38,75,1200,208,50,62,113,3,304,104,267,12,1,0,2,0,0,52,13,13,6,1,2,192,34,40,14,1,2,6.39,30000000
Nicolò Barella,Barella,21,Centrocampista,Centrale,Cagliari Calcio,Italia,Italia,79652,,,14677.3,315000,8590000,95054,4979,14,10,3,866,1440,1640,19,39,39,12,154,10,7,27,9,4,697,113,67,18,1,0,0,0,0,35,6,0,0,0,0,149,11,3,0,0,0,6.81,30000000
Iñaki Williams,inaki williams,24,Attaccante,Ala destra,Athletic Bilbao,Spagna,Spagna,130878,40494,64666,11870.1,1650000,433000,160455,381,26,2,3,14,7,10,42,126,60,293,1030,1290,8,58,70,3,390,37,212,19,6,2,0,0,0,52,10,8,0,0,0,214,61,31,0,0,0,6.82,30000000
Keita Baldé,Keita Baldé,23,Attaccante,Ala sinistra,FC Internazionale,Italia,Senegal,554661,188378,103428,40083.8,2540000,4320000,263621,6900,40,70,8,160,241,3550,67,90,72,62,324,915,216,345,213,122,444,140,446,20,3,2,4,0,0,33,8,11,6,0,2,211,58,40,10,0,2,6.68,30000000
Nélson Semedo,nelson semedo,25,Difensore,Terzino destro,FC Barcellona,Spagna,Portogallo,1744757,324472,68510,89683.6,445000,2990000,291922,9556,81,38,7,28,58,6,104,70,44,48,1080,314,379,64,48,144,232,193,272,18,0,0,4,0,0,36,0,2,7,0,0,182,8,23,22,1,0,6.77,30000000
Thilo Kehrer,Thilo Kehrer,22,Difensore,Difensore centrale,FC Paris Saint-Germain,Francia,Germania,287443,27740,21900,36391.8,680000,799000,189628,4264,313,388,223,9,5,7,10,23,37,7,143,50,62,89,96,604,62,55,138,18,0,0,5,0,0,33,3,2,0,0,0,196,12,12,5,0,0,6.79,30000000
Hakim Ziyech,Hakim Ziyech,25,Centrocampista,Trequartista,AFC Ajax Amsterdam,Olanda,Marocco,1032209,166783,,103945.9,1630000,1480000,267147,9623,28,8,7,25,3200,5,25,117,66,14,171,74,77,62,31,7,123,79,114,25,12,10,5,0,1,39,9,18,0,0,0,280,93,90,5,0,1,7,30000000
André Silva,André Silva,23,Attaccante,Punta centrale,FC Siviglia,Spagna,Portogallo,1702644,343539,240381,124646.2,115000000,154000000,536982,34347,569,230,138,318,679,899,354,945,607,249,3040,1320,456,924,365,427,1570,810,1150,23,9,2,0,0,0,40,10,2,0,0,0,211,71,20,8,4,2,7.21,30000000
Ante Rebic,Ante Rebic,25,Attaccante,Seconda punta,Eintracht Francoforte,Germania,Croazia,553170,,,69237.3,1160000,1760000,588019,12164,387,440,199,20,10,6,64,116,59,28,332,90,55,102,25,5,242,142,97,17,5,2,0,0,0,28,9,3,0,0,0,163,36,13,0,0,0,7.16,30000000
Jean Michaël Seri,Jean Seri,27,Centrocampista,Centrale,FC Fulham,Inghilterra,Costa d'Avorio,60507,,,7657.1,99800000,22300000,133220,377,14,598,423,20,5,36,188,183,492,27,901,1630,220,339,3770,595,1080,2380,1980,19,1,2,0,0,0,43,2,10,0,0,0,227,19,36,0,0,0,6.57,30000000
Serge Gnabry,Gnabry,23,Attaccante,Ala sinistra,FC Bayern Monaco,Germania,Germania,758908,520043,506275,35045.4,1420000,1820000,367739,10013,641,1280,844,56,103,103,87,200,286,42,581,81,409,702,91,3,331,1540,828,20,4,4,5,0,1,27,10,8,0,0,0,151,45,26,8,0,1,7.02,30000000
Wissam Ben Yedder,Ben Yedder,28,Attaccante,Punta centrale,FC Siviglia,Spagna,Francia,186500,46998,94451,15233.7,647000,2150000,501615,6296,68,65,111,104,83,64,61,162,108,377,2960,646,1120,1190,461,8070,964,969,2700,25,14,7,0,0,0,42,22,5,9,8,0,283,125,40,14,10,0,7.33,30000000
Wilfried Zaha,Zaha,26,Attaccante,Ala destra,Crystal Palace,Inghilterra,Costa d'Avorio,522934,328647,835851,20691.9,5330000,16100000,713870,2073,23,132,98,41,148,90,719,1120,911,29,243,74,125,92,108,8,897,348,583,15,3,3,0,0,0,29,9,5,0,0,0,322,47,59,0,0,0,6.98,30000000
Alessandro Florenzi,Florenzi,27,Difensore,Terzino destro,AS Roma,Italia,Italia,1129748,994405,677395,57079.2,1590000,2560000,119887,50946,165,53,73,1962,672,2790,44,205,172,166,540,329,139,201,183,45,1570,150,380,20,2,2,6,0,1,42,1,4,10,0,0,353,69,33,30,1,1,6.95,30000000
Geoffrey Kondogbia,Kondogbia,25,Centrocampista,Centrale,Valencia CF,Spagna,Repubblica Centrafricana,316426,118753,170493,15472.5,824000,1500000,193779,11585,61,9,7,849,266,1110,58,110,158,511,2420,651,394,833,381,380,1070,99,908,15,0,0,5,0,0,36,4,4,0,0,0,250,11,15,13,1,0,6.8,30000000
Paco Alcácer,paco alcacer,25,Attaccante,Punta centrale,Borussia Dortmund,Germania,Spagna,1628782,151089,289700,178472.4,2110000,5320000,584797,52055,244,320,283,108,61,230,133,333,262,882,5560,1540,99,204,210,219,1190,550,958,16,13,1,4,1,1,23,7,4,2,1,0,215,75,27,14,2,2,7.32,30000000
Willian José,Willian José,27,Attaccante,Punta centrale,Real Sociedad,Spagna,Brasile,84582,,108691,4067.9,21400000,14700000,113239,870,103,100,66,25,105,196,340,38700,856,435,1330,2200,176,233,233,199,1530,870,418,16,3,0,0,0,0,40,20,4,0,0,0,268,76,16,0,0,0,6.66,30000000
Emre Can,Emre Can,24,Centrocampista,Mediano,Juventus FC,Italia,Germania,2317273,980530,47747,127806.4,62900000,70200000,705015,81537,481,962,743,282,450,417,561,755,819,138,1220,312,104,189,183,642,2850,385,935,14,0,1,3,0,0,38,6,5,8,1,0,301,26,20,20,1,1,6.71,30000000
Ander Herrera,Ander Herrera,29,Centrocampista,Centrale,Manchester United,Inghilterra,Spagna,3582588,1056778,2492380,87623.5,17100000,16300000,324179,71436,119,103,10,106,146,278,1000,717,648,978,1510,1360,93,102,119,5170,1400,347,605,13,2,1,1,0,0,39,2,2,6,0,0,388,36,47,10,0,0,6.83,30000000
Gylfi Sigurdsson,Sigurdsson,29,Centrocampista,Trequartista,FC Everton,Inghilterra,Islanda,222142,,,17965.4,2190000,9780000,408807,11184,1154,707,461,91,108,151,650,2590,1120,158,534,450,134,264,143,1,1550,365,571,19,8,2,0,0,0,33,6,5,0,0,0,376,100,61,0,0,0,7.17,30000000
Julian Draxler,Draxler,25,Centrocampista,Trequartista,FC Paris Saint-Germain,Francia,Germania,3822996,1915990,,127197.6,4910000,6120000,455624,72327,1435,4010,4180,263,208,451,340,405,391,286,1240,620,736,1080,1230,4260,1350,381,1760,21,3,5,5,0,1,47,5,10,8,0,2,366,81,65,47,8,8,7.09,30000000
Victor Wanyama,Wanyama,27,Centrocampista,Mediano,Tottenham Hotspur,Inghilterra,Kenia,335839,,355456,18824.6,1140000,6840000,240008,16820,48,37,4,22,30,74,396,777,640,33,277,119,92,109,72,7,1120,255,281,7,0,0,1,0,0,24,1,0,1,0,0,320,25,13,14,1,0,6.5,30000000
Steven Nzonzi,Nzonzi,29,Centrocampista,Mediano,AS Roma,Italia,Francia,345667,42260,,51631.8,67700,1140000,638688,10324,22,65,104,175,239,246,37,310,302,107,2900,2430,365,609,294,707,1400,190,756,21,1,0,6,0,0,44,1,2,8,0,0,412,22,20,27,1,0,7.01,30000000
Dries Mertens,Dries Mertens,31,Attaccante,Punta centrale,SSC Napoli,Italia,Belgio,1347169,944060,783335,132070.8,12700000,6840000,573574,24767,173,155,70,334,331,680,217,356,253,82,351,438,269,219,163,59,1280,318,805,22,10,5,6,3,0,49,22,12,6,2,4,508,195,154,26,10,10,7.11,30000000
Diego Godín,godin,32,Difensore,Difensore centrale,Atlético de Madrid,Spagna,Uruguay,1405333,1027193,557460,37271.2,3170000,41100000,472836,7332,283,117,301,224,471,334,185,230,397,3118,6880,1230,2200,6970,2050,200,3430,395,1710,18,2,1,4,0,0,45,1,0,4,0,0,484,29,18,57,3,1,6.88,30000000
Mateo Kovacic,Kovacic,24,Centrocampista,Centrale,Chelsea FC,Inghilterra,Croazia,4447232,1036890,637324,164007,3660000,11800000,858114,145563,245,175,195,572,564,1960,358,423,306,667,9780,1580,173,330,256,545,2110,1830,858,22,0,1,0,0,0,36,0,3,7,0,1,292,18,31,33,3,1,6.72,30000000
Danny Rose,Danny Rose,28,Difensore,Terzino sinistro,Tottenham Hotspur,Inghilterra,Inghilterra,,,,,156000000,150000000,397178,12640,171,110,86,29,74,155,1351,1520,2140,43,443,198,42,399,200,1060,1710,2950,625,12,0,2,2,0,0,17,0,1,3,0,0,233,11,27,8,0,1,6.7,30000000
Juan Mata,Juan Mata,30,Centrocampista,Trequartista,Manchester United,Inghilterra,Spagna,5051117,9414907,7642054,120868.2,116000000,79000000,728671,92661,300,259,119,51,158,144,1225,9450,1180,1139,4760,1510,141,300,441,420,2150,485,1050,18,4,2,5,1,0,40,3,7,6,0,1,514,122,145,44,8,12,6.67,30000000
Marek Hamsik,Hamsik,31,Centrocampista,Centrale,SSC Napoli,Italia,Slovacchia,533712,625468,,48392.8,3410000,8900000,309024,86238,300,125,97,2081,1800,3580,114,345,234,287,1090,376,377,316,239,80,1610,78,981,17,1,1,6,1,1,49,7,3,6,0,1,592,133,111,32,5,5,6.69,30000000
David Silva,David Silva,32,Centrocampista,Trequartista,Manchester City,Inghilterra,Spagna,1127144,2431234,3790987,59564.8,269000000,219000000,942447,47167,981,518,298,304,448,926,1296,3960,2930,1348,7390,2850,2760,7250,1240,1500,3390,3180,1540,20,8,4,5,3,2,40,10,14,7,0,2,566,104,152,62,10,15,7.5,30000000
Axel Witsel,Witsel,29,Centrocampista,Mediano,Borussia Dortmund,Germania,Belgio,930165,776450,497577,48131.8,3590000,3020000,775416,13705,228,423,622,436,2710,644,142,131,265,226,7240,325,204,326,434,232,894,342,688,24,3,1,5,1,0,18,2,1,0,0,0,497,81,43,45,3,3,7.17,30000000
Blaise Matuidi,Matuidi,31,Centrocampista,Centrale,Juventus FC,Italia,Francia,4574944,2095593,2754718,99739.7,4550000,10300000,683576,69866,231,141,158,766,560,23400,281,289,442,305,1270,701,3520,5620,2520,26100,1840,241,2900,21,2,2,5,0,1,49,4,3,9,1,0,585,46,43,59,7,10,6.94,30000000
Hugo Lloris,Hugo Lloris,31,Portiere,Portiere,Tottenham Hotspur,Inghilterra,Francia,1025730,,,189667.9,7860000,6090000,879715,19054,210,230,139,43,41,46,775,940,797,175,652,346,1110,1260,1050,986,1510,549,1370,18,0,0,4,0,0,43,0,0,7,0,0,552,0,2,53,0,1,7.08,30000000
Manuel Neuer,Neuer,32,Portiere,Portiere,FC Bayern Monaco,Germania,Germania,10441792,9133975,4062339,185831.7,25700000,11000000,1146002,349553,2003,3760,2320,342,365,6810,361,389,1080,1053,3260,1390,735,2110,669,447,2480,515,4070,26,0,0,6,0,0,4,0,0,1,0,0,583,0,0,98,0,0,6.08,30000000
James Maddison,James Maddison,22,Centrocampista,Trequartista,Leicester City,Inghilterra,Inghilterra,134386,,61320,27659.8,9190000,7630000,536085,3628,8,4,1,2,5,4,193,3390,335,6,82,24,20,9,13,1,278,219,75,18,5,3,0,0,0,49,15,11,0,0,0,131,29,29,0,0,0,7.12,28000000
Lorenzo Pellegrini,Lorenzo Pellegrini,22,Centrocampista,Centrale,AS Roma,Italia,Italia,273061,,18449,21918.2,14000000,14800000,202643,2132,65,3,7,332,263,694,44,128,76,23,1460,141,28,34,31,33,444,129,139,14,2,5,4,1,3,37,3,5,8,0,1,172,30,19,12,1,4,7.05,28000000
Rúben Dias,ruben dias,21,Difensore,Difensore centrale,Benfica Lisbona,Portogallo,Portogallo,149620,23709,,15664.4,69800000,46100000,103196,433,32,4,25,10,21,5,13,19,9,184,8440,2470,24,60,48,32,471,147,94,26,0,1,5,0,0,31,4,0,2,0,0,125,4,3,7,0,0,6.81,28000000
Joe Gomez,Joe Gomez,21,Difensore,Difensore centrale,FC Liverpool,Inghilterra,Inghilterra,802837,39270,388677,71070.8,82200000,66500000,478320,9147,119,116,68,14,21,3,407,762,538,21,606,153,58,147,40,3,622,705,281,18,0,0,5,0,0,31,0,2,5,0,0,91,1,4,10,0,0,6.79,28000000
Rony Lopes,Rony Lopes,22,Attaccante,Ala destra,AS Monaco,Francia,Portogallo,81477,44801,49367,3932.4,2930000,6790000,120528,975,19,2,2,17,39,7,16,63,39,7,175,78,258,676,308,98,102,79,333,5,1,0,0,0,0,50,17,12,5,1,1,180,46,40,5,1,1,7.26,28000000
Alassane Plea,Plea,25,Attaccante,Punta centrale,Borussia Mönchengladbach,Germania,Francia,100946,12420,30338,16205.5,455000,67200000,134533,14486,98,224,60,72,63,62,9,74,45,98,309,58,826,1180,259,101,900,1130,936,18,12,3,0,0,0,49,21,7,0,0,0,181,60,27,0,0,0,7.09,28000000
Rafinha,Rafinha Alcantara,25,Centrocampista,Centrale,FC Barcellona,Spagna,Brasile,3526186,3005150,1292455,126213.4,11000000,887000,528578,17569,256,62,38,34,1178,1347,17,501,56,236,606,717,150,74,62,67,1820,151,180,8,1,0,2,1,0,18,2,3,0,0,0,221,37,26,18,1,2,6.67,28000000
