nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore
Robert Lewandowski,Lewandowski,30,Attaccante,Punta centrale,FC Bayern Monaco,Germania,Polonia,13819513,9228979,1147239,279147.2,23400000,41000000,1466554,345737,3076,4610,3610,739,417,1190,671,1810,1330,1011,7750,2700,797,5030,1580,1520,5350,1230,5310,24,22,5,6,8,0,48,41,5,11,5,2,520,338,101,78,53,16,7.43,80000000
Toni Kroos,Kroos,28,Centrocampista,Centrale,Real Madrid CF,Spagna,Germania,20210938,12387870,7338466,638051,8400000,13300000,1216986,586922,2728,4960,1990,467,277,717,550,813,959,2281,30300,3240,801,1240,957,1700,4500,1720,2260,21,1,2,6,1,2,43,5,10,12,0,3,499,58,122,95,8,23,7.13,80000000
Sergio Agüero,Aguero,30,Attaccante,Punta centrale,Manchester City,Inghilterra,Argentina,10622135,10934432,13138845,252793.5,6630000,37400000,1732784,325758,747,877,545,665,525,2580,2381,6850,2600,4823,7290,3020,791,1700,1040,1650,4650,4350,3850,19,12,3,3,2,0,39,30,7,7,4,1,577,329,107,64,33,8,7.69,80000000
Pierre-Emerick Aubameyang,Aubameyang,29,Attaccante,Punta centrale,FC Arsenal,Inghilterra,Gabon,7855421,719912,1064506,266064.6,5870000,16800000,2342493,209694,1370,3200,2230,548,547,1120,1590,10400,845,408,2390,943,2000,11300,2780,2340,1930,4260,3400,23,14,3,0,0,0,38,31,7,6,4,0,440,220,76,32,15,3,7.13,75000000
Thomas Lemar,Thomas Lemar,23,Attaccante,Ala sinistra,Atlético de Madrid,Spagna,Francia,895956,,,77563.5,3230000,3890000,669227,6386,74,126,76,33,42,80,511,1150,188,61,1080,309,553,769,508,673,778,273,1190,22,2,3,5,0,1,38,3,10,3,0,0,184,25,41,20,2,6,6.84,70000000
Sadio Mané,Sadio Mané,26,Attaccante,Ala sinistra,FC Liverpool,Inghilterra,Senegal,2846176,618004,,272329.8,4970000,6030000,1472483,56023,184,202,410,19,129,363,1383,6920,748,322,582,277,261,268,222,211,1580,709,1030,23,8,3,6,1,2,44,20,9,11,10,1,278,112,67,17,11,3,7.33,70000000
Samuel Umtiti,Umtiti,25,Difensore,Difensore centrale,FC Barcellona,Spagna,Francia,5612100,1377227,1034246,282891.8,3590000,5690000,942965,253736,137,135,229,201,121,231,336,320,268,519,10900,2990,2130,2210,1170,7780,2380,1050,3070,8,0,1,1,0,0,40,1,0,9,0,0,261,7,4,22,0,0,6.6,70000000
Marco Verratti,Verratti,26,Centrocampista,Centrale,FC Paris Saint-Germain,Francia,Italia,4250907,2121634,,119613.3,5060000,7200000,345301,58771,155,270,176,900,711,2000,320,221,324,410,3900,965,1740,2570,3790,15700,1700,403,4180,18,0,1,5,0,0,38,2,7,8,2,2,336,10,55,49,3,6,6.95,70000000
Koke,Koke,26,Centrocampista,Centrale,Atlético de Madrid,Spagna,Spagna,1985163,1292100,921243,31600.5,10200000,17400000,258587,77740,264,193,112,210,213,324,143,899,562,3041,11600,4840,356,520,678,146,2320,670,1530,21,4,2,5,2,1,51,6,7,4,0,0,395,38,92,54,5,9,6.93,70000000
Jordi Alba,Jordi Alba,29,Difensore,Terzino sinistro,FC Barcellona,Spagna,Spagna,10575116,3652201,2207921,172584.8,22900000,23000000,397364,179446,343,125,183,235,147,3250,237,321,313,2180,9910,4710,410,421,539,1630,2600,1700,1430,23,2,9,5,1,3,48,3,11,8,0,0,414,24,57,59,3,6,7.1,70000000
David de Gea,De Gea,28,Portiere,Portiere,Manchester United,Inghilterra,Spagna,10259313,6833359,11775038,381655.3,34300000,73300000,1227163,333626,452,766,287,320,245,638,1747,2520,1940,2493,13500,14500,721,1450,4150,2150,4170,8880,1930,23,0,0,5,0,0,46,0,0,6,0,0,422,0,1,39,0,0,6.55,70000000
Marcelo,Marcelo,30,Difensore,Terzino sinistro,Real Madrid CF,Spagna,Brasile,34121574,19824540,11099,727369.8,328000000,422000000,1163038,1047420,2827,1320,707,1553,947,2140,933,1290,2300,8560,60400,9080,2460,5570,2410,6740,7800,6540,5400,16,3,3,4,1,1,44,5,11,11,3,4,475,39,87,93,9,20,7.06,70000000
Luis Suárez,Luis Suarez,31,Attaccante,Punta centrale,FC Barcellona,Spagna,Uruguay,31348782,18773048,15226778,526185.5,79400000,124000000,2337536,420881,796,890,666,647,424,1050,1619,2730,2800,4160,42800,13400,25000,62000,1290,4620,7800,5570,4830,21,11,6,4,0,2,51,31,18,10,1,3,548,371,210,47,20,16,7.58,70000000
Miralem Pjanic,Pjanic,28,Centrocampista,Centrale,Juventus FC,Italia,Bosnia-Erzegovina,3238611,988563,417207,189836.7,3110000,12300000,504721,109346,260,131,160,2496,1220,11300,214,422,344,293,2560,942,303,423,494,794,2170,534,2690,21,3,2,6,2,0,44,7,14,8,1,1,456,69,100,60,11,9,7.2,70000000
Ivan Rakitic,Rakitic,30,Centrocampista,Centrale,FC Barcellona,Spagna,Croazia,12877683,4033976,1335027,311483.4,8310000,10500000,1247654,391840,754,655,352,379,2400,502,407,519,500,2270,8210,5660,1780,3950,4600,2670,3810,2810,3650,24,3,6,6,1,2,55,4,5,10,1,0,593,100,104,59,6,8,7,70000000
Casemiro,Casemiro,26,Centrocampista,Mediano,Real Madrid CF,Spagna,Brasile,9457330,4300289,1601397,262246.2,7290000,6540000,517856,244738,231,197,194,271,180,399,293,373,234,1588,11500,2750,344,459,460,309,2560,823,1490,19,1,0,4,1,0,48,7,3,12,1,0,292,26,23,50,5,3,7.01,70000000
Naby Keïta,Naby Keita,23,Centrocampista,Centrale,FC Liverpool,Inghilterra,Guinea,760701,171716,,97909.5,808000,4110000,1029647,9706,328,533,341,32,26,39,446,531,214,47,1630,98,89,160,216,158,573,319,560,18,0,0,3,0,0,39,9,7,5,2,0,193,41,35,8,2,0,6.65,65000000
Marcus Rashford,Rashford,21,Attaccante,Punta centrale,Manchester United,Inghilterra,Inghilterra,5857745,736768,1437665,251412.2,10800000,15000000,1423015,248125,211,274,207,162,291,228,2848,9870,1310,127,3310,450,314,459,668,240,9210,2850,1760,21,5,5,6,1,0,52,13,9,8,3,2,158,42,22,14,4,2,6.75,65000000
Nabil Fekir,Fekir,25,Centrocampista,Trequartista,Olympique Lione,Francia,Francia,965474,184650,322120,94934.2,4730000,5880000,1109417,25557,58,62,335,106,166,118,256,437,205,106,2120,510,4290,15000,4040,3120,8750,1590,3740,17,7,4,5,3,2,40,23,8,0,0,0,171,64,41,10,3,2,7.07,65000000
Lorenzo Insigne,Insigne,27,Attaccante,Ala sinistra,SSC Napoli,Italia,Italia,842770,295066,25586,110741.5,6420000,28400000,384655,97507,240,165,103,2784,3550,9460,156,3610,272,251,1310,472,225,381,451,104,2210,231,1430,22,10,5,6,3,0,48,14,14,5,3,0,403,130,83,25,9,1,7.39,65000000
Thibaut Courtois,Courtois,26,Portiere,Portiere,Real Madrid CF,Spagna,Belgio,5867348,5447246,2251570,170586.2,10400000,31500000,1649433,161770,347,441,257,376,526,503,1314,1770,1220,2052,18500,4620,613,921,954,1890,3410,3570,2920,19,0,0,3,0,0,46,0,0,8,0,0,372,0,1,31,0,0,6.79,65000000
Alexandre Lacazette,Lacazette,27,Attaccante,Punta centrale,FC Arsenal,Inghilterra,Francia,2591950,493766,1029268,182486.9,7340000,7570000,832819,135682,268,226,262,329,239,524,1654,10500,689,229,1470,798,4780,13200,3640,4130,1480,937,2310,22,8,6,0,0,0,39,17,5,0,0,0,336,154,54,18,5,3,7.12,65000000
Bernardo Silva,Bernardo Silva,24,Attaccante,Ala destra,Manchester City,Inghilterra,Portogallo,1032045,222764,390772,57591.2,80300000,64200000,542196,15534,166,138,101,202,127,162,747,632,321,123,1890,645,729,918,657,450,1340,502,1460,23,6,5,5,2,0,53,9,11,9,1,2,264,50,42,32,5,4,7.23,60000000
Ederson,Ederson,25,Portiere,Portiere,Manchester City,Inghilterra,Brasile,1423891,281895,104304,76567.1,6970000,8360000,634993,45310,171,202,81,139,254,407,657,527,427,152,2390,271,468,831,224,61,1050,531,858,24,0,0,6,0,0,45,0,0,9,0,0,195,0,0,25,0,0,6.69,60000000
Anthony Martial,Martial,23,Attaccante,Ala sinistra,Manchester United,Inghilterra,Francia,5282308,1190939,1690613,372989.4,64800000,340000000,935591,392857,249,947,594,250,335,1120,3009,8880,8860,1801,2980,1380,1960,9660,4050,2640,3530,3830,3170,20,9,0,5,1,0,45,11,9,8,1,2,230,60,34,26,4,3,6.86,60000000
Riyad Mahrez,Mahrez,27,Attaccante,Ala destra,Manchester City,Inghilterra,Algeria,2598827,1355133,1472431,228989.4,6660000,6820000,1028086,120698,153,160,159,426,345,314,1362,2850,1380,229,968,620,902,1880,609,732,2310,1400,2090,26,7,6,5,1,4,41,13,13,0,0,0,273,66,56,14,5,6,6.95,60000000
Timo Werner,Timo Werner,22,Attaccante,Punta centrale,RasenBallsport Lipsia,Germania,Germania,461790,140511,,39447.1,12400000,12100000,662686,8336,1265,2140,1210,39,47,26,172,357,167,54,604,198,145,129,118,151,711,358,614,21,13,3,0,0,0,45,21,10,6,3,0,263,127,43,6,3,0,7.18,60000000
